COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN _DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,GUID_PREFIX,COLL_OBJ_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,OTHER_ID_NUM_4,OTHER_ID_NUM_TYPE_4,OTHER_ID_REFERENCES_4,PART_NAME_1,PART_CONDITION_1,PART_LOC_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOC_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DET_METHOD_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
693,ekrimmel,1951.5279.36,1c612b1f-23ba-4ea9-8b8c-031d7b3749ab,UUID,self,[CHAS:Mamm]5279,Charadrius melodus,legacy,unknown,2015-11-24,Piping Plover. Verbatim AOU Number: 277.,[no date recorded],1885-10-25,2015-11-24,no higher geography recorded,,[no locality recorded],Amber King,2008-11-05,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Hammond Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-05).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: I,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
694,ekrimmel,681,c4f863c4-e34b-424a-aee4-0e5687dffe6e,UUID,self,[CHAS:Mamm]accession unknown,Charadrius melodus,legacy,Frank Morley Woodruff,1902-06-13,Piping Plover. Verbatim AOU Number: 277.,1902-06-13,1902-06-13,1902-06-13,"North America, United States, Indiana, Lake County",Miller,Millers [Miller],Dawn R. Roberts,2014-12-10,unverified,On beach.,,Frank Morley Woodruff,collector,,,,,CHAS:Egg,"INTERNAL NOTES: ""First recorded set taken in Chicago area; See 'Birds of Chicago Area', Woodruff, 1907 - page 81."" EXHIBIT AND LOAN HISTORY: ""Museum group dismounted 1938"" [egg catalog]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).",681,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,4,in collection,,,,,,,,verbatim collector,F.M. Woodruff,Erica Krimmel,,,,nest description,Depression in sand,Frank Morley Woodruff,,,,,This single egg with Woodruff's memo (attached) is doubtless the remaining egg of set used in group in museum.  E.R. Ford 2/13/32.,accepted place of collection
695,ekrimmel,101,f449e688-7c48-430d-886e-c19cb61aa0a4,UUID,self,[CHAS:Mamm]3774,Charadrius melodus,legacy,Earl G. Wright,1928-06-20,Piping Plover. Verbatim AOU Number: 277.,"1928-06-20; ""Collected June 12-25, 1928""",1928-06-20,1928-06-20,"North America, United States, South Dakota, Day County",Webster,"Bitter Lake, near Waubay",Dawn R. Roberts,2014-12-10,unverified,,,Earl G. Wright,collector,,,,,CHAS:Egg,INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,4,in collection,,,,,,,,verbatim collector,E.G. Wright,Erica Krimmel,incubation stage,started,Earl G. Wright,nest description,Depression on ground,Earl G. Wright,,,,,,accepted place of collection
696,ekrimmel,2216,ae7365d8-d0d6-412e-97df-3f3e4f7579d9,UUID,self,[CHAS:Mamm]accession unknown,Charadrius montanus,legacy,L. R. Wolfe,1931-05-31,Mountain Plover. Verbatim AOU Number: 281.,1931-05-31,1931-05-31,1931-05-31,"North America, United States, Wyoming, Albany County",,"Albany County, Wyoming",Pat Munroe,2011-05-04,unverified,"On ground, short grass on open prairie. ",,L. R. Wolfe,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1988-03-24. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).,858/3,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,3,in collection,,,,,,,,verbatim collector,L.R. Wolfe,Erica Krimmel,incubation stage,begun,L. R. Wolfe,nest description,"Made of a slight depression lined with seeds, bits of dead grass roots and a few small stones. ",L. R. Wolfe,,,,,Bird flushed from nest and then watched until she returned.,accepted place of collection
697,ekrimmel,425,24154b42-2e5e-42aa-85ba-b8cf9beced83,UUID,self,[CHAS:Mamm]3904,Charadrius montanus,legacy,Alfred M. Bailey,1931-05-19,Mountain Plover. Verbatim AOU Number: 281.,1934-05-19,1931-05-19,1931-05-19,"North America, United States, Colorado, Adams County",Watkins,[transcribed directly into formatted locality fields],Dawn R. Roberts,2014-12-10,unverified,"On ground, in short grass prairie.",,Alfred M. Bailey,collector,,,,,CHAS:Egg,INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,2,in collection,,,,,,,,verbatim collector,A.M. Bailey,Erica Krimmel,,,,,,,,,,,,accepted place of collection
698,ekrimmel,1683,8a202383-8493-485c-927a-e48cef801dcc,UUID,self,[CHAS:Mamm]accession unknown,Charadrius nivosus,legacy,D. Moore Lindsay,1913-05-20,Snowy Plover. Certain. Verbatim AOU Number: 278.,1913-05-20,1913-05-20,1913-05-20,"North America, United States, Utah",,"Shore of Great Salt Lake, Utah",Pat Munroe,2011-05-04,unverified,Slight hollow on mud flat.,,D. Moore Lindsay,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 74,original identifier,self,2-3,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,3,in collection,,,,,,,,verbatim collector,Dr. D. Moore Lindsay,Erica Krimmel,incubation stage,fresh,D. Moore Lindsay,nest description,Nest unlined but contained broken shells,D. Moore Lindsay,,,,,,accepted place of collection
699,ekrimmel,1005,be6f2e08-5f9e-4a3c-b244-b5be0a990655,UUID,self,[CHAS:Mamm]accession unknown,Charadrius nivosus nivosus,legacy,Alfred M. Bailey,1935-06-10,Snowy Plover. Verbatim AOU Number: 278.,1935-06-10,1935-06-10,1935-06-10,"North America, United States, Utah, Box Elder County",Brigham City,"Bear River Refuge, Brigham, Boxelder County, Utah",Pat Munroe,2011-05-04,unverified,On ground in roadway,,Alfred M. Bailey,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,3,in collection,,,,,,,,verbatim collector,A.M. Bailey,Erica Krimmel,,,,,,,,,,,,accepted place of collection
700,ekrimmel,867,3081bd93-22b4-4cb5-908a-952dd1338774,UUID,self,[CHAS:Mamm]4311,Charadrius nivosus nivosus,legacy,E. E. Sechrist,1932-05-06,Snowy Plover. Verbatim AOU Number: 278.,1932-05-06,1932-05-06,1932-05-06,"North America, United States, California, San Diego County",San Diego,Salt Marsh,Dawn R. Roberts,2014-12-10,unverified,1/2 mile back from water.,,E. E. Sechrist,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]; ""by exchange E.E. Sechrist"" [egg catalog]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).",1/3-32,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,3,in collection,,,,,,,,verbatim collector,E.E. Sechrist,Erica Krimmel,incubation stage,fresh,E. E. Sechrist,nest description,"A slight depression, lined with a few bits of sticks on mud flat",E. E. Sechrist,,,,,,accepted place of collection
701,ekrimmel,1340,39daf328-e4aa-4a35-9d61-82cc501c9df9,UUID,self,[CHAS:Mamm]4232,Charadrius semipalmatus,legacy,unknown,1912-07-02,Semipalmated Plover. Verbatim AOU Number: 274.,1912-07-02,1912-07-02,1912-07-02,"North America, Canada, Newfoundland and Labrador, Nunatsiavut",Nain,"Near Nain, Labrador [Newfoundland & Labrador]",Dawn R. Roberts,2014-12-10,unverified,On ground.,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]. Purchased from the Armstrong-Pearsall Collection. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).,E. E. Armstrong 1021,collector number,self,33,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
702,ekrimmel,1511,067371a4-9ad5-4876-b6e9-9d712e4b7d68,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,M. Helmkamp,1920-05-01,Killdeer. Verbatim AOU Number: 273.,1920-05-01,1920-05-01,1920-05-01,"North America, United States, Illinois, DuPage County",Addison,"Addison, DuPage County, Illinois",Pat Munroe,2011-05-04,unverified,On baseball grounds.,,M. Helmkamp,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 143,original identifier,self,A V. 1,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,M. Helmkamp,Erica Krimmel,incubation stage,one-third,M. Helmkamp,,,,,,,,Female feigns injury.,accepted place of collection
703,ekrimmel,2211,06eb7b29-be81-4c8a-87cb-228b02f34dd0,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,Edward R. Ford,1916-04-23,Killdeer. Verbatim AOU Number: 273.,1916-04-23,1916-04-23,1916-04-23,"North America, United States, Illinois, Cook County",,"Hubbard Woods, New Trier [Township], Cook County, Illinois",Pat Munroe,2011-05-04,unverified,On ground near edge of Skokie Marsh. ,,Edward R. Ford,collector,,,,,CHAS:Egg,"INTERNAL NOTES: ""18"" in LRC of Egg Card [A. King]. DATA HISTORY: Date listed as verified/cataloged is 1988-03-24. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",273/4,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,E.R. Ford,Erica Krimmel,incubation stage,fresh,Edward R. Ford,nest description,A hollow in gravel spilled about septic sewage disposed cistern. Small ends of eggs centered in nest,Edward R. Ford,,,,,,accepted place of collection
704,ekrimmel,2339,3b129244-1b75-4758-b9eb-85c3da9939e5,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,ID of kin,Dwight W. Cusack,1898-06-07,Killdeer. Bird flushed. Verbatim AOU Number: 273.,6/7/1898,1898-06-07,1898-06-07,"North America, United States, Illinois, Cook County",Chicago,"North Edgewater, Chicago, Cook County, Illinois",Pat Munroe,2011-05-04,unverified,Placed in the sand in a small depression.,,Dwight W. Cusack,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1988-03-08. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).,56B-1,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,D.W. Cusack,Erica Krimmel,incubation stage,well begun,Dwight W. Cusack,nest description,Contained a few small weed stems,Dwight W. Cusack,,,,,,accepted place of collection
705,ekrimmel,1681,3ecb76c4-6252-456f-9d2d-a8e3ed2ee542,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,Hiram DeYoung,1908-05-09,Killdeer. Verbatim AOU Number: 273.,1908-05-09,1908-05-09,1908-05-09,"North America, United States, Wisconsin, Dodge County",Beaver Dam,"2 miles south of Beaver Dam, Dodge County, Wisconsin",Pat Munroe,2011-05-04,unverified,,,Hiram DeYoung,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 20,original identifier,self,1/4 1908,original identifier,self,18922,CHAS:Bird,parent of,egg,"3 eggs broken, 1 egg cracked due to housing [8/2008].",RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,Hiram DeYoung,Erica Krimmel,incubation stage,fresh,Hiram DeYoung,nest description,A hollow scratched in ground on hillside,Hiram DeYoung,,,,,,accepted place of collection
706,ekrimmel,2210,413f6e12-f83f-4a53-bd36-ef4bd4dc3a18,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,Edward R. Ford,1905-06-03,Killdeer. Verbatim AOU Number: 273.,1905-06-03,1905-06-03,1905-06-03,"North America, United States, Illinois, Cook County",Chicago,"Lake Front Park, Chicago, Cook County, Illinois",Pat Munroe,2011-05-04,unverified,"On made or filled in land for propsed outer park on city's waterfront, among heaps of rubbish and upon a small knoll formed of slag, broken brick etc. ",,Edward R. Ford,collector,,,,,CHAS:Egg,"INTERNAL NOTES: ""21"" in LRC of Egg Card [A. King]. DISPLAY NOTES: Diameter: 4 5/8."" DATA HISTORY: Date listed as verified/cataloged is 1988-03-23. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",273/2,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,E.R. Ford,Erica Krimmel,incubation stage,fresh,Edward R. Ford,nest description,"A slight depression rimmed and lined with small fragments of bone mortar, brick, coal, glass, wood, pepples, stone chips and charcoal",Edward R. Ford,,,,,notes pg. 189.,accepted place of collection
707,ekrimmel,2212,4aa9eb4b-3850-4b28-a608-b84be4f1e174,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,Edward R. Ford,1930-06-17,Killdeer. Verbatim AOU Number: 273.,1930-06-17,1930-06-17,1930-06-17,"North America, United States, Illinois, Cook County",Winnetka,"Winnetka, Cook County, Illinois",Pat Munroe,2011-05-04,unverified,"On ground prepared for golf links, overgrown with rank weeds with bare spaces of earth between clumps of this vegetation",,Edward R. Ford,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1988-03-24. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).,273/6,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,E.R. Ford,Erica Krimmel,incubation stage,small embryos,Edward R. Ford,nest description,broken up by desk harrow,Edward R. Ford,,,,,,accepted place of collection
708,ekrimmel,1509,5cbf9cba-1e8a-409a-9752-57980d6bac49,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,G. Eifrig,1925-06-26,Killdeer. Verbatim AOU Number: 273.,1925-06-26,1925-06-26,1925-06-26,"North America, United States, Texas, Hidalgo County",Mercedes,"Mercedes, Hildago County, Texas",Pat Munroe,2011-05-04,unverified,On mud levee along irrigation ditch.,,G. Eifrig,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 88,original identifier,self,M 1/4,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,G. Eifrig,Erica Krimmel,incubation stage,slight,G. Eifrig,nest description,None,G. Eifrig,,,,,,accepted place of collection
709,ekrimmel,32,5fab04a0-4897-490c-b90e-cecbfd34a961,UUID,self,[CHAS:Mamm]3777,Charadrius vociferus,legacy,Charles Barney Cory,1905-05-31,Killdeer. Verbatim AOU Number: 273.,Spring 1905,1905-03-01,1905-05-31,"North America, United States, Massachusetts, Barnstable County",,"Great Island, Barnstable, Massachusetts",Pat Munroe,2011-05-04,unverified,Nest on ground.,,Charles Barney Cory,collector,,,,,CHAS:Egg,"INTERNAL NOTES: Originally from the Collection of Chas. B. Cory, Jr. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",7-4,original identifier,self,,,,,,,egg,"2 eggs with hairline cracks [A. king, 3/29/2011]",RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,verbatim collector,"Chas. B. Cory, Jr.",Erica Krimmel,,,,,,,,,,,,accepted place of collection
710,ekrimmel,1510,767593d6-f3c9-4a79-8ae4-27753d1abdc6,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,W. E. Snyder,1906-06-30,Killdeer. Verbatim AOU Number: 273.,1906-06-30,1906-06-30,1906-06-30,"North America, United States, Wisconsin, Dodge County",Beaver Dam,"Beaver Dam, Dodge County, Wisconsin",Pat Munroe,2011-05-04,unverified,In potato patch about 10 rods from farmyard at Lakeview farm.,,W. E. Snyder,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 145,original identifier,self,"1/3, 1906",original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,3,in collection,,,,,,,,verbatim collector,W.E. Snyder,Erica Krimmel,incubation stage,fresh,W. E. Snyder,nest description,Eggs laid in a hole scratched in bare ground,W. E. Snyder,,,,,,accepted place of collection
711,ekrimmel,1682,8337d864-b224-42b2-a80c-ac9f932c8088,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,W. E. Snyder,1910-06-09,Killdeer. Verbatim AOU Number: 273.,1910-06-09,1910-06-09,1910-06-09,"North America, United States, Wisconsin, Dodge County",Beaver Dam,"Beaver Dam, Dodge County, Wisconsin",Pat Munroe,2011-05-04,unverified,In potato patch 20 rods from farm.,,W. E. Snyder,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'Assembled as a University study collection. Value to be set by Director, future date' [from accession card]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",Saint Mary of the Lake Seminary 86,original identifier,self,1/3 1910,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 02: I,3,in collection,,,,,,,,verbatim collector,W.E. Snyder,Erica Krimmel,incubation stage,fresh,W. E. Snyder,nest description,"Depression, lined with fragments of corn stalks",W. E. Snyder,,,,,,accepted place of collection
712,ekrimmel,320,939a840e-1b76-4850-94a7-56285f117d89,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,unknown,1915-05-31,Killdeer. Verbatim AOU Number: 273.,[transcribed directly into formatted date fields],1915-05-01,1915-05-31,"North America, United States, Indiana, Lake County",,"Lake County, Indiana",Pat Munroe,2011-05-04,unverified,,,unknown,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).,,,,,,,,,,egg,Unknown debris found in packing material [8/2008].,RVWD: 302: Ool Cab 02: I,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
713,ekrimmel,2218,9f05999b-7231-4d6e-9f37-0921a2c6ded8,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,Louie Forbrich,1925-05-31,Killdeer. Verbatim AOU Number: 273.,2015-05-25,1925-05-01,1925-05-31,"North America, United States, Illinois, Lake County",,"Lake Marie, Lake County, Illinois",Pat Munroe,2011-05-04,unverified,,,Louie Forbrich,collector,,,,,CHAS:Egg,"INTERNAL NOTES: Information gained from correspondence between E R Ford and C W F [Forbrich]. For additional information see original letter in gift files, 1925. DATA HISTORY: Date listed as verified/cataloged is 1988-03-17. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-05-04).",5,original identifier,self,,,,,,,egg,1 egg repaired [8/2008].,RVWD: 302: Ool Cab 02: I,2,in collection,,,,,,,,verbatim collector,Louie [Forbrich] for C.W. Forbrich,Erica Krimmel,,,,,,,,,,,,accepted place of collection
714,ekrimmel,1382,c14db12e-616e-4268-a081-bf642d04d77d,UUID,self,[CHAS:Mamm]4232,Charadrius vociferus,legacy,William B. Crispin,1912-05-16,Killdeer. Verbatim AOU Number: 273.,1912-05-16,1912-05-16,1912-05-16,"North America, United States, New Jersey, Salem County",,[transcribed directly into formatted locality fields],Dawn R. Roberts,2014-12-10,unverified,On ground in white potato field as potatoes were coming through.,,William B. Crispin,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Collection of Wm. B. Crispin. Purchased from the Armstrong-Pearsall Collection. EXHIBIT AND LOAN HISTORY: In Exhibition Hall - Laflin Building 4/1939. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).,E. E. Armstrong 530,collector number,self,275,original identifier,self,,,,egg,unchecked,RVWD: 302: Ool Cab 05: B,4,in collection,,nest,unchecked,RVWD: 302: Ool Cab 05: B,1,in collection,,verbatim collector,Wm. B. Crispin,Erica Krimmel,,,,,,,,,,,,accepted place of collection
715,ekrimmel,1951.5279.37,8236afb0-68eb-4460-b7c4-0af4c754fecc,UUID,self,[CHAS:Mamm]5279,Charadrius vociferus,legacy,unknown,1950-09-29,Killdeer. Verbatim AOU Number: 273.,[no date recorded],1885-10-25,1950-09-29,no higher geography recorded,,[no locality recorded],Amber King,2008-11-05,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Hammond Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. EXHIBIT AND LOAN HISTORY: L2010.1. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-05).,,,,,,,,,,egg,"One egg broken by Bluestone [1/29/2010] when accidentally dropped, pieces returned 3/26/2010, see loan forms L2009.5 [A. King]",RVWD: 302: Ool Cab 05: I,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
716,ekrimmel,673,49f62ff3-b52c-4608-8e83-ccd68508d26c,UUID,self,[CHAS:Mamm]4066,Charadrius vociferus,legacy,C. W. Forbrich,1903-06-22,Killdeer. Verbatim AOU Number: 273.,1903-06-22,1903-06-22,1903-06-22,"North America, United States, Illinois, Lake County",,"Lake Marie, near Grass Lake P.O.",Dawn R. Roberts,2014-12-10,unverified,"On ground in field under cultivation, geside stalk of young corn.",,C. W. Forbrich,collector,,,,,CHAS:Egg,"INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]. ""Donated by E.R. Ford, June 22, 1903"" [from Accession Book]. DATA HISTORY: Date listed as verified/cataloged is 1988-06-04. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).",273/1,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 06: G,4,in collection,,,,,,,,verbatim collector,C. Forbrich for E.R. Ford,Erica Krimmel,incubation stage,slight,C. W. Forbrich,nest description,"A slight depression circumscribed and lined with small gravel-stones, bits of wood and similar minute debris",C. W. Forbrich,,,,,C. Forbrich for E.R. Ford who saw birds in field 6/15/03.,accepted place of collection
717,ekrimmel,2016.2.45,338eeb66-8c01-4d93-a9fb-fc096a9bea94,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,unknown,2015-11-24,Killdeer. Verbatim AOU Number: 273.,[no date recorded],1800,2015-11-24,no higher geography recorded,,[no locality recorded],Amber King,2010-02-23,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Date listed as verified/cataloged is 2010-02-23. Record last updated in Excel (prior to Arctos migration) by Amber King (2010-02-23).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 07: D,3,in collection,,,,,,,,,,,,,,,,,,,,,"Not all from same set as markings on eggs are all different: (1) 516, (2) 1/4, (3) Kd",accepted place of collection
718,ekrimmel,2016.2.46,126e7a50-8ddd-4cb8-ab51-c50c65e058f1,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,unknown,2015-11-24,Killdeer. Verbatim AOU Number: 273.,[no date recorded],1800,2015-11-24,no higher geography recorded,,[no locality recorded],Amber King,2009-08-26,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2009-08-26).,2495,original identifier,self,477,original identifier,self,,,,egg,Poor. One egg crushed into many pieces.,RVWD: 302: Ool Cab 07: D,2,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
719,ekrimmel,2016.2.47,6d25900c-22a5-453b-8781-af4d573bfb34,UUID,self,[CHAS:Mamm]accession unknown,Charadrius vociferus,legacy,unknown,2008-12-31,Killdeer. Verbatim AOU Number: 273; Verbatim Ridgway Number: 516.,[no date recorded],1800,2008-12-31,no higher geography recorded,,[no locality recorded],Amber King,2008-12-18,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-12-18).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 07: F,1,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
