status - sam,accn_number,received_from,received_year,received_month,received_day,nature_of_material,remarks,estimated_count
Done,2025,A. B. Wolcott,1904,9,27,Malacology: Unionidae. Number of species: 2,"Date: 'July 24, 1904'. Information from accession book. Verbatim received from agent: A.B. Wolcott",3
Done,2033,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Unionidae. Number of species: 6,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,52
Done,2034,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh Water Univalves. Number of species: 9,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,66
Done,2035,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Unionidae. Number of species: 2,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,31
Done,2037,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Univalves. Number of species: 6,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,32
Done,2038,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Land and fr.-water Mollusks [Molluscs]. Number of species: 15,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,77
Done,2039,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Land and fr.-water Mollusks [Molluscs]. Number of species: 7,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,186
Done,2041,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Univalves. Number of species: 3,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,51
Done,2045,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Unionidae. Number of species: 4,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,23
Done,2046,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Univalves. Number of species: 10,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,140
Done,2048,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Univalves. Number of species: 7,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,83
Done,2049,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Land Mollusca. Number of species: 3,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,51
Done,2050,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Univalves. Number of species: 7,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,77
Done,2051,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Land Mollusca. Number of species: 7,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,406
Done,2054,"Chicago Academy of Sciences, Frank Collins Baker",1904,9,27,Malacology: Fresh-water Mollusca. Number of species: 5,Information from accession book. Academy expedition 1904. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,59
Done,2057,Frank M. Woodruff,1904,10,3,Malacology: Land and Fresh Water Mollusks [molluscs]. Number of species: 6,Information from accession book. Verbatim received from agent: F.M. Woodruff,16
Done,2058,,1904,10,3,"Malacology: Land, Fresh Water and Marine Moll. [Mollusks]. Number of species: 75",Information from accession book.. Verbatim agency associated with: Phil. Acad. Sciences Philadephia Academy of Sciences,268
Done,2061,,1904,10,6,Malacology: Pearly Nautilus. Number of species: 1,Purchased $2.00. Information from accession book. Correspondence in Accession file and Purchases-1904 [A. King].. Verbatim agency associated with: Wards Natural Science Establishment,1
Done,2068,Charles S. Raddin,1904,10,31,Malacology: Land mollusks [molluscs]. Number of species: 5,Information from accession book. Verbatim received from agent: C.S. Raddin,20
Done,2074,H. L. Hammerstien,1904,12,2,Malacology: Marine Shells. Number of species: 30,"Tsingtan, China;. Information from accession book. Correspondence in Accession file and copy in Gifts-1904 [A. King] Verbatim received from agent: H.L. Hammerstein",125
Done,2080,,1904,12,31,"Malacology: Mollusks [Molluscs]; ""Case containing specimens of shells, buttons, etc."".",Illustrating the marine pearl button industry;. Information from accession book. Correspondence in Accession Files and copy in Gifts-1904 [A. King].. Verbatim agency associated with: International Button Co.,350
Done,2085,L. E. Daniels,1905,1,18,Malacology: Lymnaea. Number of species: 1,Information from accession book. Verbatim received from agent: L.E. Daniels,30
Done,2092,Alois Frey,1905,2,28,Malacology: Land and freshwater Mollusks [molluscs]. Number of species: 3,Information from accession book. Verbatim received from agent: Alois Frey,525
Done,2102,,1905,4,20,Malacology: Bulimulus ridleyi. Number of species: 1,Information from accession book.. Verbatim agency associated with: Carnegie Museum,5
Done,2103,Frank Collins Baker,1905,4,20,Malacology: Fresh Water Mollusks [Molluscs].,Date: '1900'. Information from accession book. Verbatim received from agent: F.C. Baker,25
Done,2104,Frank Collins Baker,1905,5,6,Malacology: Mollusks [Molluscs].,"Collected July 13, 1901. Information from accession book. Verbatim received from agent: F.C. Baker",6
Done,2112,J. Henderson,1905,4,29,Malacology: Oreohelix strigosa. Number of species: 1,Information from accession book. Verbatim received from agent: J. Henderson,1
Done,2113,L. E. Daniels,1905,4,29,Malacology: Vertigo morsei. Number of species: 1,From original lot. Information from accession book. Verbatim received from agent: L.E. Daniels,14
Done,2118,unknown,1905,4,29,Malacology: Mollusks [Molluscs]. Number of species: 183,Information from accession book. Verbatim received from agent: Dr. McCoy,418
Done,2119,unknown,1905,4,29,Malacology: Murex. Number of species: 2,Information from accession book. Verbatim received from agent: Dr. McCoy,2
Done,2122,"Chicago Academy of Sciences, Frank Collins Baker",1905,5,9,Malacology: Fresh Water Mollusks [Molluscs]. Number of species: 7,Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,9
Done,2125,T. Van Heyning,1905,5,17,Malacology: Polygyra elevata var cincta. Number of species: 1,Information from accession book. Correspondence in Accession File and Gifts-1905. Species sent listed as Polygyra multilineata cincto in letter [A. King] Verbatim received from agent: T. Van Hyning,25
Done,2126,T. Van Heyning,1905,5,17,Malacology: Succinea. Number of species: 1,Information from accession book. Verbatim received from agent: T. Van Hyning,12
Done,2136,E. R. Downing,1905,6,16,Malacology: Fresh-water mollusks [Molluscs]. Number of species: 3,Information from accession book. Verbatim received from agent: E.R. Downing,8
Done,2137,Frank M. Woodruff,1905,6,16,Malacology: Planorbis. Number of species: 1,Information from accession book. Verbatim received from agent: F.M. Woodruff,24
Done,2142,Charles F. Gunther,1905,6,29,Malacology: Mollusks [Molluscs]. Number of species: 2,Information from accession book. Verbatim received from agent: C.F. Gunther,12
Done,2148,"Chicago Academy of Sciences, Frank Collins Baker",1905,7,14,Malacology: Land and Fresh-water Shells.,"Information from accession book. Field Day, 1905. Verbatim received from agent: Chicago Academy of Sciences",238
Done,2151,W. S. Moffatt,1905,7,20,Malacology: Polygyra. Number of species: 1,Information from accession book. Verbatim received from agent: W. Moffatt,7
Done,2153,Frank M. Woodruff,1905,7,20,Malacology: Corals.,Information from accession book. Verbatim received from agent: F.M. Woodruff,10
Done,2162,Anton Burson,1905,8,25,Malacology: Littorina. Number of species: 3,Date: '1903'. Information from accession book. Verbatim received from agent: Anton Burson,45
Done,2163,J. M. Wiers,1905,8,25,Malacology: Ocinebra nuttallii. Number of species: 1,Information from accession book. Verbatim received from agent: J.M. Wiers,8
Done,2168,C. E. Brown,1905,8,31,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: C.E. Brown,10
Done,2170,Andrew J. Snyder,1905,8,31,Malacology: Oreohelix strigosa.,Information from accession book. Verbatim received from agent: A.J. Snyder,7
Done,2171,Anges Chase,1905,8,31,Malacology: Segmentina armigera.,Information from accession book. Verbatim received from agent: Mrs. Anges Chase,8
Done,2181,A. B. Wolcott,1905,9,11,Malacology: Land Snails. Number of species: 5,Information from accession book. Verbatim received from agent: A.B. Wolcott,36
Done,2182,Frank M. Woodruff,1905,9,11,Malacology: Sphaerium simile.,Information from accession book. Verbatim received from agent: F.M. Woodruff,1
Done,2183,Frank M. Woodruff,1905,9,11,Malacology: Anodonta [Pyganodon] grandis.,Date: '8-1897'. Information from accession book. Verbatim received from agent: F.M. Woodruff,1
Done,2184,Edna Hall,1905,9,11,Malacology: Land mollusks [molluscs]. Number of species: 3,Date: '7-12-97'. Information from accession book. Verbatim received from agent: Edna Hall,8
Done,2202,William Wirt Calkins,1905,10,17,Malacology: Land Mollusks [molluscs].,"Date of collection Oct. 12, 1905. Under mosses, on slopes of clay bluff, in vicinity of prostrate cedars. Information from accession book. Verbatim received from agent: W.W. Calkins",38
Done,2206,William A. Nason,1905,10,25,Malacology: Land and Fresh Water Shells. Number of species: 39,Information from accession book. Verbatim received from agent: W.A. Nason,395
Done,2212,T. D. A. Cockerell,1905,11,15,Malacology: Lymnaea caperata. Number of species: 1,Information from accession book. Verbatim received from agent: T.D.A. Cockerell,3
Done,2215,J. J. Gough,1905,12,5,Malacology: Marine mollusks [molluscs]. Number of species: 2,Information from accession book. Verbatim received from agent: J.J. Gough,8
Done,2223,William A. Nason,1906,1,2,Malacology: Land and Fresh-water Mollusks [molluscs]. Number of species: 25,Information from accession book. Verbatim received from agent: Dr. Wm. A. Nason,75
Done,2228,,1906,1,2,Malacology: Trochus.,Showing holes from which button blanks were cut. Information from accession book.. Verbatim agency associated with: International Button Co.,2
Done,2229,Frank Collins Baker,1906,1,4,Malacology: Unionidae. Number of species: 4,Small creek east of Wide Waters. Information from accession book. Verbatim received from agent: F.C. Baker,34
Done,2233,"C. Juday, Junius Henderson",1906,1,10,Malacology: Goniobasis nigrina. Number of species: 1,"Univ. of Colorado, Boulder, Col.,11-27-04. Information from accession book. Verbatim received from agent: Junius Henderson. Verbatim agency associated with: University of Colorado",6
Done,2235,L. E. Daniels,1906,1,29,Malacology: Vallonia excentrica. Number of species: 1,Information from accession book. Verbatim received from agent: L.E. Daniels,40
Done,2236,L. E. Daniels,1906,1,29,Malacology: Polygyra and Ampullaria. Number of species: 2,Information from accession book. Verbatim received from agent: L.E. Daniels,6
Done,2237,James Zetek,1906,1,29,Malacology: Quadrula granifera. Number of species: 1,Found between Waldheim and Forest Home Cemeteries. Information from accession book. Verbatim received from agent: James Zetek,1
Done,2248,Fred Payne,1906,2,5,Malacology: Pisidium abditum. Number of species: 1,Information from accession book. Verbatim received from agent: Ferd Payne. Verbatim agency associated with: Indiana State University,1
Done,2249,William A. Nason,1906,2,5,Malacology: Land Shells. Number of species: 9,Information from accession book. Verbatim received from agent: Dr. Wm. A. Nason,34
Done,2251,James Zetek,1906,2,7,Malacology: Marine mollusks [molluscs]. Number of species: 11,Information from accession book. Verbatim received from agent: J. Zetek,1300
Done,2256,unknown,1906,2,16,Malacology: Oyster. Number of species: 1,Information from accession book. Verbatim received from agent: Hiller & Wohlgemuth,1
Done,2259,"A. A. Hinkley, Mrs. E. C. Wiswall",1906,3,2,Malacology: Quadrula triumphans. Number of species: 1,Information from accession book. Correspondence in Accession file and copy in Gifts-1906 [A. King]. Verbatim received from agent: Mrs. E.C. Wiswall,1
Done,2260,William A. Nason,1906,3,2,Malacology: Polygyra multilineata. Number of species: 1,Cotypes. Var. algonquiniensis. Information from accession book. Verbatim received from agent: Dr. W.A. Nason,6
Done,2261,A. A. Hinkley,1906,3,9,Malacology: Physa and other fresh-water shells. Number of species: 20,Contains topotypes of Ancylus kirklandi. Information from accession book. Verbatim received from agent: A.A. Hinkley,340
Done,2262,A. A. Hinkley,1906,3,9,Malacology: Amnicolidae. Number of species: 23,Contains topotypes of Walker's Alabama species. Information from accession book. Verbatim received from agent: A.A. Hinkley,227
Done,2265,Robert W. Purdy,1906,3,10,Malacology: Lampsilis luteola. Number of species: 1,Diseased. Information from accession book. Verbatim received from agent: Robert W. Purdy,4
Done,2269,Nettie A. McKibben,1906,3,17,Malacology: Unios. Number of species: 2,Information from accession book. Letter citing original offer to exchange in Accession File and copy in Exchanges-1906 [A. King]. Verbatim received from agent: Nettie A. McKibben. Exch.,2
Done,2270,Bryant Walker,1906,4,4,Malacology: Fresh Water Mollusks [Molluscs]. Number of species: 3,Information from accession book. Verbatim received from agent: Bryant Walker,8
Done,2274,State Laboratory of Natural History,1906,4,12,Malacology: Land and Fresh Water Mollusks [molluscs].,Information from accession book. Verbatim received from agent: State Laboratory of Natural History,380
Done,2275,"J. D. Hood, James Zetek",1906,4,12,Malacology: Land and Fresh Water Mollusks [molluscs]. Number of species: 4,Information from accession book. Verbatim received from agent: Jas. Zetek & J.D. Hood,40
Done,2280,Ruthven V. Deane,1906,4,17,Malacology: Mollusks.,Information from accession book. Verbatim received from agent: Ruthven Deane,100
Done,2290,Frank Collins Baker,1906,4,21,Malacology: Fresh Water Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.C. Baker. Verbatim agency associated with: Chicago Academy of Sciences,5
Done,2294,L. E. Daniels,1906,4,27,Malacology: Carychium exile canadense. Number of species: 1,Date: '8-20-05'. Information from accession book. Verbatim received from agent: L.E. Daniels,2
Done,2296,Jose F. Quadras,1906,5,9,"Malacology: Land, fresh-water and marine Mol. [Molluscs]. Number of species: 3000","Information from accession book. Verbatim received from agent: Purchased by subscriptions from Jose Quadras, Manilia, Phil. Sci. list.",3500
Done,2312,"Chicago Academy of Sciences, Frank M. Woodruff",1906,5,30,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,100
Done,2319,"Chicago Academy of Sciences, Frank M. Woodruff",1906,6,25,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,50
Done,2321,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-water Mollusks [Molluscs]. Number of species: 2,Date: '5-12-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,4
Done,2329,William K. Higley,1906,7,16,Malacology: Pearl Button Collection.,Information from accession book. Verbatim received from agent: W.K. Higley,100
Done,2332,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 38,Dates: '6-16 and 6-26-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,1721
Done,2333,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 18,Date: '6-21-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,187
Done,2334,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 7,Date: '6-20-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,38
Done,2335,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 27,Date: '6-20-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,210
Done,2337,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 18,Date: '6-12-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,218
Done,2338,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land and Fresh-Water Mollusks [molluscs]. Number of species: 12,Date: '6-14-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,155
Done,2339,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 9,Date: '6-14-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,115
Done,2340,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 4,Date: '6-13-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,92
Done,2341,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 10,Date: '6-18-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,280
Done,2346,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 5,Date: '6-20-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,21
Done,2347,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 4,Date: '6-20-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,20
Done,2349,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 4,Date: '6-21-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,20
Done,2351,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land Shells. Number of species: 3,Date: '6-23-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,10
Done,2352,"Chicago Academy of Sciences, Frank Collins Baker",1906,7,2,Malacology: Land Shells. Number of species: 7,Date: '6-24-1906'. Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,50
Done,2354,Frank M. Woodruff,1906,7,30,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 4,"July, 1906. Information from accession book. Verbatim received from agent: F.M. Woodruff",8
Done,2355,John Hall,1906,8,4,Malacology: Marine Mollusks [molluscs].,Information from accession book. Verbatim received from agent: John Hall,20
Done,2360,unknown,1906,8,16,"Malacology: Cypraea annae, Roberts. Number of species: 1",Information from accession book. Verbatim received from agent: Dr. McCoy,1
Done,2362,"Chicago Academy of Sciences, Frank Collins Baker",1906,8,20,Malacology: Physa and Lymnaea. Number of species: 4,"Information from accession book. Field Day, 1906. Verbatim received from agent: Chicago Academy of Sciences",300
Done,2364,"Chicago Academy of Sciences, Frank Collins Baker",1906,8,20,Malacology: Land Mollusks [molluscs]. Number of species: 4,"Information from accession book. Field Day, 1906. Verbatim received from agent: Chicago Academy of Sciences",30
Done,2370,"Chicago Academy of Sciences, Frank Collins Baker",1906,8,21,Malacology: Land and Fresh-Water Mollusks [molluscs].,Date: '7-12-1902'. Information from accession book. Academy expedition. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,300
Done,2371,Frank M. Woodruff,1906,8,21,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 4,Date: '5-1-1903'. Information from accession book. Verbatim received from agent: F.M. Woodruff,40
Done,2373,Gertrude T. Hall,1906,8,27,Malacology: Lampsilis luteola. Number of species: 1,Information from accession book. Verbatim received from agent: Gertrude T. Hall,3
Done,2374,Alice Brightman,1906,8,27,Malacology: Lampsilis luteola. Number of species: 1,Information from accession book. Verbatim received from agent: Alice Brightman,10
Done,2382,F. R. Latchford,1906,9,3,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 3,Information from accession book. Verbatim received from agent: F.R. Latchford,8
Done,2383,"Chicago Academy of Sciences, Frank Collins Baker",1906,9,3,Malacology: Land Shells. Number of species: 2,Information from accession book. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,3
Done,2384,William K. Higley,1906,9,4,Malacology: Anodonta [Pyganodon] grandis. Number of species: 1,Information from accession book. Verbatim received from agent: W.K. Higley,2
Done,2385,unknown,1906,9,10,Malacology: Marine Shells. Number of species: 2,Information from accession book. Verbatim received from agent: Dr. McCoy,2
Done,2404,Frank M. Woodruff,1906,9,20,Malacology: Land and Fresh-water Shells. Number of species: 3,Information from accession book. Verbatim received from agent: F.M. Woodruff,3
Done,2411,L. E. Daniels,1906,10,8,Malacology: Land and Fresh-water Shells. Number of species: 2,Information from accession book. Verbatim received from agent: L.E. Daniels,9
Done,2417,Frank M. Woodruff,1906,10,16,Malacology: Land Shells. Number of species: 2,Information from accession book. Verbatim received from agent: F.M. Woodruff,2
Done,2423,Bert Sanner,1906,11,9,Malacology: Vivipara contectoides. Number of species: 1,Information from accession book. Verbatim received from agent: Bert Sanner,12
Done,2424,Mrs. I. S. Oldroyd,1906,11,10,Malacology: Marine mollusks [molluscs]. Number of species: 6,Information from accession book. Verbatim received from agent: Mrs. I.S. Oldroyd,48
Done,2425,Mrs. I. S. Oldroyd,1906,11,10,Malacology: Brachiopods. Number of species: 2,Information from accession book. Verbatim received from agent: Mrs. I.S. Oldroyd,10
Done,2429,L. E. Daniels,1906,11,24,Malacology: Chitons. Number of species: 22,Information from accession book. Verbatim received from agent: L.E. Daniels,34
Done,2430,L. E. Daniels,1906,11,24,Malacology: Campeloma. Number of species: 1,Information from accession book. Verbatim received from agent: L.E. Daniels,3
Done,2434,Mrs. O. B. Green,1906,12,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. O.B. Green,8
Done,2451,A. B. Wolcott,1906,12,24,Malacology: L. and F.W. Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: A.B. Wolcott,300
Done,2454,,1906,12,26,Malacology: Pleistocene mollusks [molluscs]. Number of species: 29,Information from accession book.. Verbatim agency associated with: Field Museum of Natural History,1200
Done,2455,,1906,12,31,"Malacology: Corneocyclas idahoense, Roper. Number of species: 1",From deepest part of lake. Information from accession book.. Verbatim agency associated with: Wisconsin Natural History Survey,7
Done,2458,Mrs. H. A. Zech,1907,1,20,Malacology: Marine and Land Mollusks [Molluscs]. Number of species: 39,Information from accession book. Verbatim received from agent: Mrs. H.A. Zech,249
Done,2459,Albert Dickinson,1907,1,25,"Malacology, Anthropology: Crushed clam and oyster shells.",Used for chicken and poultry feed. Information from accession book. Verbatim received from agent: Albert Dickinson,4
Done,2462,L. E. Daniels,1907,2,14,"Malacology: Campeloma rufum, Hald. Number of species: 1",Named by Walker. Information from accession book. Verbatim received from agent: L.E. Daniels,12
Done,2465,A. A. Hinkley,1907,2,16,Malacology: Physa sp. Number of species: 1,"Dec., 1906. Information from accession book. Verbatim received from agent: A.A. Hinkley",5
Done,2467,Frank Collins Baker,1907,2,19,Malacology: Land and Fresh Water Mollusks [molluscs]. Number of species: 9,"Date: 'May 30, 1906'. Information from accession book. Verbatim received from agent: Frank C. Baker",40
Done,2468,Frank Collins Baker,1907,2,19,Malacology: Fresh-Water Mollusks [molluscs]. Number of species: 6,"Dredging; 1 foot water, muddy bottom. Information from accession book. Verbatim received from agent: Frank C. Baker",50
Done,2469,Frank Collins Baker,1907,2,19,Malacology: Amnicola and Planorbis. Number of species: 2,Amoung river weeds; 6-8 ft water. Information from accession book. Verbatim received from agent: Frank C. Baker,150
Done,2472,Paul Bartsch,1907,2,19,Malacology: Lymnaea and Palustris. Number of species: 1,Information from accession book. Verbatim received from agent: Dr. Paul Bartsch. Verbatim agency associated with: Smithsonian Institute,8
Done,2478,L. E. Daniels,1907,3,12,Malacology: Pomatiopsis cincinnatiensis. Number of species: 1,Information from accession book. Verbatim received from agent: L.E. Daniels,3
Done,2479,Bryant Walker,1907,3,12,Malacology: Lymnaeas. Number of species: 2,Information from accession book. Verbatim received from agent: Bryant Walker,15
Done,2487,Mrs. L. Zech,1907,4,2,Malacology: Marine Mollusks [molluscs].,Information from accession book. Verbatim received from agent: Mrs. L. Zech,26
Done,2489,Stillman S. Berry,1907,4,4,Malacology: Lymnaea palustris. Number of species: 1,In exchange for papers. Information from accession book. Verbatim received from agent: S.S. Berry. Verbatim agency associated with: Leland Stanford Jr. Univ.,30
Done,2491,R. E. C. Stearns,1907,4,12,"Malacology: Paludestrina protea, Gould. Number of species: 1",Information from accession book. Verbatim received from agent: R.E.C. Stearns,10166
Done,2493,John Ritchie,1907,4,16,Malacology: Conus acuminatus. Number of species: 1,Information from accession book. Verbatim received from agent: John Ritchie,1
Done,2494,William K. Higley,1907,4,16,Malacology: Oreohelix strigosa var. cooperi. Number of species: 1,Information from accession book. Verbatim received from agent: William K. Higley,31
Done,2495,A. A. Hinkley,1907,4,16,"Malacology: Land, Fresh-water, Marine Shells. Number of species: 49",Purchased $5.00. Information from accession book. Verbatim received from agent: A.A. Hinkley,800
Done,2513,Frank Hay,1907,5,20,Malacology: Unios. Number of species: 2,Information from accession book. Verbatim received from agent: Frank Hay,2
Done,2518,Charles S. Raddin,1907,5,16,Malacology: Melanopsis costata. Number of species: 1,Information from accession book. Verbatim received from agent: C.S. Raddin,5
Done,2519,Edwin A. Woley,1907,5,23,Malacology: Land and Marine Mollusks [Molluscs].,Mostly near Tampa. Information from accession book. Verbatim received from agent: Mr. Edwin A. Woley,15000
Done,2540,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Fresh-water Mollusks [molluscs].,"In small stream, back of S.W. shore, Lymnaes in stagnant water, Physas in clear, running water. Information from accession book. Academy collecting 6-11. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences",320
Done,2541,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Land and Fresh-water Mollusks [molluscs].,Land shells abundant in shore debris. Information from accession book. Academy collecting 6-11. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,60
Done,2542,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Fresh-water Mollusks [molluscs].,Unios living on muddy bottom in shallow water. Information from accession book. Academy collecting 6-11. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences,88
Done,2544,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Land and Fresh-water Mollusks [molluscs].,"In swamps, east-side of inlet. Information from accession book. Academy collecting 6-11. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences",24
Done,2548,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Land and Fresh-water Mollusks [molluscs].,"In dry brook, west shore of the lake, north-side of R.R. tracks. Information from accession book. Academy collecting 6-15. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences",200
Done,2550,"Chicago Academy of Sciences, Frank Collins Baker",1907,6,24,Malacology: Land and Fresh-water Mollusks [molluscs].,"East shore, in marsh near small creek. Information from accession book. Academy collecting 6-17. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences",114
