GUID,ACCN,TAXON_NAME,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,COLLECTOR_AGENT_1,COLLECTOR_AGENT_2,PART_LOT_COUNT_1,PART_DISPOSITION_1,Identification 1,Identification 2,Identification 3,Type status (not on Arctos),Reference (not on Arctos),Figured Specimens (not on Arctos)
CHAS:Inv:22160,[CHAS:Mamm]2495,Lucilla singleyana,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, Tamaulipas","Tampico, in river drift","FROM SPECIMEN: In river drift; FROM ORIGINAL CATALOG BOOK: Tampico, Mexico",A. A. Hinkley,,11,in collection,Helicodiscus {Helicodiscus singelyanus},Helicodiscus singleyanus,Zonitoides {Zonitoides singleyana},from type lot,"From type lot. In drift. Nautilus XXI p. 28, 1907",
CHAS:Inv:1951.5300.253,[CHAS:Mamm]5300,Helix tridentina,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Florida",no specific locality recorded,[transcribed directly into formatted locality fields],unknown,,3,in collection,,,,,,page 59
CHAS:Inv:20771,[CHAS:Mamm]1937,Holospira cionella,Gastropod.,1904,1904-01-01,1904-12-31,"North America, United States, Arizona, Cochise County","Willcox, Fort Bowie National Historic Site","FROM SPECIMEN: Fort Bowie; FROM ORIGINAL CATALOG BOOK: Fort Bowie, Arizona",Frank M. Woodruff,,1,in collection,,,,topotype,,
CHAS:Inv:20770,[CHAS:Mamm]1937,Holospira ferrissi,Gastropod.,1904,1904-01-01,1904-12-31,"North America, United States, Arizona, Cochise County","Willcox, Fort Bowie National Historic Site","FROM SPECIMEN: Fort Bowie; FROM ORIGINAL CATALOG BOOK: Fort Bowie, Arizona",Frank M. Woodruff,,17,in collection,,,,topotype,,
CHAS:Inv:7333,[CHAS:Mamm]10,Tritia obsoleta,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Massachusetts",no specific locality recorded,FROM ORIGINAL CATALOG BOOK: Massachusetts,unknown,,20,in collection,Ilyanassa obsoleta,,,,Possibly referred to in Stimpson 1865: 61,
CHAS:Inv:21996,[CHAS:Mamm]2749,Inflectarius approximans,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Perry County",Marion,"FROM SPECIMEN: Marion; FROM ORIGINAL CATALOG BOOK: Marion, Alabama",Herbert Smith,,3,in collection,Polygyra inflecta {Polygyra inflecta approximans},,,paratype,,T.H. Aldrich (Exchange)
CHAS:Inv:21991,[CHAS:Mamm]2749,Inflectarius smithi,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Madison County","Huntsville, Monte Sano Mountain","FROM SPECIMEN: Monte Sano, Near Huntsville; FROM ORIGINAL CATALOG BOOK: Monte Sano, Huntsville, Alabama",Herbert Smith,,3,in collection,Inflectarius {Inflectarius smithii},Polygyra smithii,,cotype (syntype),Publication: The Nautilus: Volume 25 (May 1911) pg. 122-124,T.H. Aldrich (Exchange)
CHAS:Inv:23593,[CHAS:Mamm]accession unknown,Lymnaea reflexa,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Antrim County",no specific locality recorded,"FROM SPECIMEN: Small Lake or Small Lane [Sam Howes, 2017: No record for Small Lake or Small Lane in Antrim County].",unknown,,1,in collection,,,,,,This is the form referred to Excelis in Naut VI p 32
CHAS:Inv:19741,[CHAS:Mamm]2085,Leptodea leptodon,Bivalve.,"9-5-03 [September 5, 1903]",1903-09-05,1903-09-05,"North America, United States, Indiana, Posey County","Grand Chain, Wabash River","FROM SPECIMEN: Wabash River; FROM ORIGINAL CATALOG BOOK: Wabash R. [River], Grand Chain, Posey Co., Ind. [Indiana]",unknown,,1,in collection,Lampsilis blatchleyi,,,cotype (syntype),Publication: The Nautilus: Volume 16 (June 1902) pg. 13,plate IL
CHAS:Inv:22133,[CHAS:Mamm]2495,Disconaias fimbriata,Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, Tamaulipas","Tampico, Valles River","FROM SPECIMEN: Valles River; FROM ORIGINAL CATALOG BOOK: Valles River, Tampico, Mexico",A. A. Hinkley,,2,in collection,Lampsilis fimbriata,Disconaias fimbriata,,paratype,,
CHAS:Inv:22285,[CHAS:Mamm]2495,Friersonia iridella,Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi",Valles,"FROM SPECIMEN: Valles; FROM ORIGINAL CATALOG BOOK: Valles, Mexico",A. A. Hinkley,,10,in collection,Lampsilis iridella,,,locotype,,
CHAS:Inv:15790,[CHAS:Mamm]accession unknown,Ortmanniana ligamentina,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lampsilis ligamentina,Ortmanniana ligamentina,,,,FIGURE. Glue residue on both valves. Interior of both valves labeled in ink.
CHAS:Inv:17671,[CHAS:Mamm]accession unknown,Ortmanniana ligamentina,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lampsilis ligamentina,Ortmanniana ligamentina,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:25176,[CHAS:Mamm]2921,Lampsilis {Lampsilis metallica ganina},Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Ganina River, 3 miles southwest of San Dieguito","FROM SPECIMEN: Ganina River, 3 miles South west of San Dieguito; FROM ORIGINAL CATALOG BOOK: Ganina River, 3 mi. S.W. of San Dieguito [Mexico]",A. A. Hinkley,,21,in collection,,,,topotype,,
CHAS:Inv:17713,[CHAS:Mamm]accession unknown,Lampsilis fasciola,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lampsilis multiradiata,,,,,FIGURE.Glue residue on one valve
CHAS:Inv:17698,[CHAS:Mamm]accession unknown,Lampsilis fasciola,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lampsilis multiradiatus,Lampsilis (Lampsilis) multiradiatus,,,,FIGURE. Specimen has glue on on valve
CHAS:Inv:25165,[CHAS:Mamm]2921,Lampsilis semirasa,Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Ganina River, 3 miles southwest of San Dieguito","FROM SPECIMEN: Ganina River, 3 miles South west of San Dieguito; FROM ORIGINAL CATALOG BOOK: Ganina River, 3 mi. So. W. of San Dieguito [Mexico]",A. A. Hinkley,,9,in collection,,,,topotype,,
CHAS:Inv:25171,[CHAS:Mamm]2921,Actinonaias signata,Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Valles River, small falls 3 miles below Valles","FROM SPECIMEN: Valles River, near a small falls 3miles below Valles; FROM ORIGINAL CATALOG BOOK: Valles River, near a small falls 3 mi below Valles. [Mexico]",A. A. Hinkley,,22,in collection,Lampsilis {Lampsilis signata},Lampsilis signatus,,topotype,,
CHAS:Inv:20258,[CHAS:Mamm]1996,Lampsilis teres,Freshwater Mussel.,1904-07-01T00:00:00Z,1904-07-01,1904-07-31,"North America, United States, Iowa, Clayton County","McGregor, Mississippi River","FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: McGregor, Iowa",Chicago Academy of Sciences,,4,in collection,Lampsilis fallaciosa,,,,,plate 89. tigs [tiss?] 1-2 [or 7].; plate 89 figure 1-4; plate 89. t. 3-4
CHAS:Inv:25173,[CHAS:Mamm]2921,Actinonaias undivaga,Bivalve.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Valles River, 2 miles above Mecos","FROM SPECIMEN: Valles River 2 miles above Mecos; FROM ORIGINAL CATALOG BOOK: Valles River, 2 mi. above Mecos [Mexico]",A. A. Hinkley,,18,in collection,Lampsilis {Lampsilis undwaga},Lampsilis undivaga,,topotype,,
CHAS:Inv:17765,[CHAS:Mamm]accession unknown,Lampsilis sp.,Freshwater Mussel.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,,,,,,"FIGURE. Different parts of shell. A, exterior of left valve; B, both valves viewed from above. a,anterior end; p, posterior end; d, dorsal margin; v, ventral margin; r, right valve; l, left valve; 1, umbo; 2, ligament; 3, lunule: 4, lines of growth; 5, rays extending from umbo to ventral margin"
CHAS:Inv:17668,[CHAS:Mamm]accession unknown,Lampsilis sp.,Freshwater Mussel.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,,,,,,"FIGURE: Different Parts of Shell A, exterior of left valve; B, both valves viewed from above [specimens were on two separate cards] a, anterior end; p, posterior end; d, dorsal margin; v, ventral margin; r, right valve; l, left valve; 1, umbo; 2, ligament; 3 lunule; 4, lines of growth; 5, rays extending from umbo to ventral margin"
CHAS:Inv:2017.13.1110,[CHAS:Mamm]2017.13,Latirus sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Specimen has glue residue and labels glued to it.
CHAS:Inv:17674,[CHAS:Mamm]accession unknown,Lima lima,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lima squamosa,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:24505,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Tuscola County","Stoney Island, Saquau Bay","FROM SPECIMEN: Stoney Island, Saquau Bay, Tuscola leo [Sam Howes, 2017: Mouth of Squaw River is in Tuscola County, but Squaw Bay and Stony Island are near Thunder Bay].",unknown,,2,in collection,Limnaea emarginata {Limnaea emarginata ontarioensis},,,,,pp. 45 figure8
CHAS:Inv:23317,[CHAS:Mamm]accession unknown,Limnaea {Limnaea ontariensis},Gastropod.,[no date recorded],1800,2017-07-01,"North America, Canada, Ontario",Pidgeon Lake,"FROM SPECIMEN: Pigeon Lake, claft. Ontario",unknown,,1,in collection,,,,,,plate45 figure28
CHAS:Inv:23785,[CHAS:Mamm]accession unknown,Lymnaea oronoensis,"Gastropod. ""solida [crossed out].""",[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County",Calumet River,FROM SPECIMEN: Calumet River,unknown,,2,in collection,Limnaea {Limnaea oronensis},,,,,plate 66; see also plateate 47 f 10
CHAS:Inv:23520,[CHAS:Mamm]accession unknown,Lymnaea reflexa {Limnaea reflexa iowaensis},Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Iowa, Muscatine County",Muscatine,FROM SPECIMEN: Muscatine,Fill Witter,Bryant Walker,1,in collection,,,,paratype,,"plate 35, f 9."
CHAS:Inv:23192,[CHAS:Mamm]accession unknown,Lymnaea rustica,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Suffolk County",Moliauch,FROM SPECIMEN: Moliauch,unknown,,1,in collection,Limnaea {Limnaea rustica},,,,,"plate 31, 8.14"
CHAS:Inv:18340.24,[CHAS:Mamm]accession unknown,Littorina {Littorina Turbo sp.},Periwinkle Shell.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340
CHAS:Inv:17715,[CHAS:Mamm]accession unknown,Stewartia floridana,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lucina floridana,,,,,FIGURE.Glue residue on one valve
CHAS:Inv:17685,[CHAS:Mamm]accession unknown,Lucina tigerina,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lucina {Lucina tigrina},,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:17717,[CHAS:Mamm]accession unknown,Lucina tigerina,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lucina {Lucina tigrina},,,,,FIGURE.Glue residue on one valve
CHAS:Inv:23707,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea angulata},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Dane County",Four Lakes,FROM SPECIMEN: mt of 4 Lakes Madison,unknown,,3,in collection,,,,,,"Back of label has plate44 f 7-9 written on it; as the label was made from a piece of paper that had been used for notes, this may not relate to the specimens."
CHAS:Inv:23486,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea alpensis},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan",no specific locality recorded,FROM SPECIMEN: [Illegible] Bay,unknown,,8,in collection,,,,"""Types"" ",,plate 33 figures 26-30
CHAS:Inv:23719.1,[CHAS:Mamm]accession unknown,Radix auricularia,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Ontonagon County",Union River,FROM SPECIMEN: Union River,unknown,,2,in collection,Lymnaea {Lymnaea apicularia},Lymnaea auricularia,,,,"plate 47, figure 23"
CHAS:Inv:23085,[CHAS:Mamm]accession unknown,Radix auricularia,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lymnaea {Lymnaea auriculata},Lymnaea auricularia,,,,used for figureof genitalia
CHAS:Inv:23875,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea autocontana},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,,,,cotype,,
CHAS:Inv:23715,[CHAS:Mamm]accession unknown,Lymnaea binneyi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,North America,Lake Superior,FROM SPECIMEN: Lake Superior,unknown,,1,in collection,,,,,,"plate 47, figure 13"
CHAS:Inv:23229.2,[CHAS:Mamm]accession unknown,Sphaerogalba bulimoides,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Sonoma County",no specific locality recorded,[transcribed directly into formatted locality fields],unknown,,1,in collection,Lymnaea bulimoides sonomaensis,Galba bulimoides {Galba bulimoides sonomaiensis},,paratype,,"Hemphill plate 28, figure 12"
CHAS:Inv:23758,[CHAS:Mamm]accession unknown,Ladislavella catascopium,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Los Angeles County","Los Angeles, Rose Hills",FROM SPECIMEN: Rose Hills,unknown,,3,in collection,Lymnaea {Lymnaea catascopinus},Lymnaea catascopium,,,,"plate 45, figure 22-23"
CHAS:Inv:24632,[CHAS:Mamm]2950,Ladislavella catascopium,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New Jersey, Burlington County","Burlington, Delaware River","FROM SPECIMEN: Delaware River, near Burlingotn",unknown,,1,in collection,Lymnaea {Lymnaea catascopinus},Lymnaea catascopium,,,,"plate 41, figure 1"
CHAS:Inv:23723,[CHAS:Mamm]accession unknown,Lymnaea catascopium,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Ottawa County","Holland, Lake Macatawa",FROM SPECIMEN: Black Lake,unknown,,2,in collection,,,,,,"Label also has p 55. F 26-28 written on it, but this has been crossed out. On the back of the label, it says plate 40 figure 34-35 , but I don't know if this relates to the label, or it was just on the back of a reused piece of paper."
CHAS:Inv:23771,[CHAS:Mamm]accession unknown,Ladislavella catascopium,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Lymnaea catascopium {Lymnaea catascopium pinguis},Gastropoda {Alrio sp.},,,,pg 41 figure4
CHAS:Inv:23722,[CHAS:Mamm]accession unknown,Ladislavella catascopium,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Ottawa County","Holland, Lake Macatawa","FROM SPECIMEN: Black Lake, Holland [Sam Howes, 2017: Lake Macatawa was formerly known as Black Lake].",unknown,,2,in collection,Lymnaea catascopum {Lymnaea catascopum intertexta},Lymnaea catascopium,,,,plate 40 figure 32-33
CHAS:Inv:23786,[CHAS:Mamm]1032,Lymnaea {Lymnaea compare},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Maine, Aroostook County","Caribou, Aroostook River","FROM SPECIMEN: Aroostook River, Caribou",Olaf Nylander,,5,in collection,,,,,,plate 47 fug 4-8
CHAS:Inv:24538,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea contractaleoa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Roscommon County",Hequina Lake,"FROM SPECIMEN: Hequina Lake Roscommon [Sam Howes, 2017: Higgins Lake?].",unknown,,5,in collection,,,,,,"plate 46, figure 1-4"
CHAS:Inv:23125.2,[CHAS:Mamm]2085,Lymnaea {Lymnaea dalli},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Indiana, Steuben County",Lake James,FROM SPECIMEN: Lake James,unknown,,4,in collection,Galba {Galba dalli},Bakerilymnaea dalli,,syntype,,"plate 30, figures 13-15"
CHAS:Inv:23125.1,[CHAS:Mamm]2085,Lymnaea {Lymnaea dalli},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Bakerilymnaea dalli,,,lectotype,,
CHAS:Inv:23622.2,[CHAS:Mamm]2411,Lymnaea {Lymnaea danielsi},Freshwater Pond Snail.,[no date recorded],1906-07-25,1906-07-25,"North America, United States, Indiana, Marshall County",Lake Maxinkuckee,FROM SPECIMEN: Lake Maxincukee,unknown,,1,in collection,,,,type,"Publication: The Lymnaeidae of North and Middle America, recent and fossil, by Frank Collins Baker (Chicago Academy of Sciences, special publication no. 3), pg. 355-356; Publication: The Nautilus: Volume 20 (Sept. 1906) pg. 55","plate 38, figures 1-2 (Baker)"
CHAS:Inv:23624,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea danielsi},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Indiana, Marshall County",Lake Maxinkuckee,FROM SPECIMEN: Lake Mex,unknown,,5,in collection,,,,,,"plate 38, figure 4-8"
CHAS:Inv:23622.1,[CHAS:Mamm]2411,Lymnaea {Lymnaea danielsi},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:23784,[CHAS:Mamm]accession unknown,Lymnaea decollata {Lymnaea decollata oronoensis},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Maine, Penobscot County",Orono,FROM SPECIMEN: Orono,Bryant Walker,,1,in collection,,,,paratype,,plate 47 figure 1
CHAS:Inv:23303,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea desideosa decampii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Washtenaw County",Ann Arbor,FROM SPECIMEN: Ann Arbor,Bryant Walker,,1,in collection,,,,,,"plate 32, figure 22"
CHAS:Inv:23484,[CHAS:Mamm]2045,Lymnaea {Lymnaea desidiosa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Ontario County","Geneva, Seneca Lake","FROM SPECIMEN: Seneca Lake, near Geneva",unknown,,5,in collection,,,,,,"plate 34, figure 10-12"
CHAS:Inv:24705,[CHAS:Mamm]accession unknown,Ladislavella elodes,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Dane County",Madison,FROM SPECIMEN: Madison,unknown,,5,in collection,Lymnaea elodes,,,,,"plate 34, figure 21-22"
CHAS:Inv:23712,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Emmet County",Crooked Lake,FROM SPECIMEN: Crooked Lake,Bryant Walker,,5,in collection,Lymnaea emarginata,,,,,"plate 44, figure 19-23"
CHAS:Inv:23709,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Montana",Mission Mountains,FROM SPECIMEN: Mission Mountains,unknown,,4,in collection,Lymnaea emarginata montana,,,,,"plate 46, figures 5-8; Back of labe has plate 67, figures 34-37 written on it."
CHAS:Inv:24504.2,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Freshwater Pond Snail.,"[date determined from correspondence between Frank C. Baker and Bryant Walker in which Baker refers to collecting these specimens ""last year"" with the letter dated ""November 9, 1909."" See Chicago Academy archives for more.]",1908-01-01,1909-11-09,"North America, United States, Wisconsin, Oneida County","Tomahawk Lake, east shore",FROM SPECIMEN: Tomahawk Lake; FROM ORIGINAL CATALOG BOOK: [E. shore of Tomahawk Lake],Frank Collins Baker,,18,in collection,Lymnaea emarginata {Lymnaea emarginata wisconsinensis},Galba {Galba marginata wisconsinensis},,syntype,,"plate 44, figures 10-18"
CHAS:Inv:24504.1,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Freshwater Pond Snail.,"[date determined from correspondence between Frank C. Baker and Bryant Walker in which Baker refers to collecting these specimens ""last year"" with the letter dated ""November 9, 1909."" See Chicago Academy archives for more.]",1908-01-01,1909-11-09,"North America, United States, Wisconsin, Oneida County","Tomahawk Lake, east shore",FROM ORIGINAL CATALOG BOOK: [E. shore of Tomahawk Lake],Frank Collins Baker,,1,in collection,Lymnaea emarginata {Lymnaea emarginata wisconsinensis},,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:3458,[CHAS:Mamm]981,Lymnaea {Lymnaea ferrissi},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Will County","Joliet, Rock Run","FROM SPECIMEN: Rock Run; FROM ORIGINAL CATALOG BOOK: Rock Run, Joliet [Illinois]",James H. Ferriss,,1,in collection,,,,holotype,"Publication: Chicago Academy of Sciences, The Mollusca of the Chicago Area, Special Bulletin No. III of the Geological and Natural History Survey (April, 1896)","plate 31, figure 26"
CHAS:Inv:24627,[CHAS:Mamm]accession unknown,Pseudosuccinea columella,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"West Indies, Cuba, Provincia Pinar del Rio, Greater Antilles, Cuba",no specific locality recorded,"FROM SPECIMEN: Prior del Ris [Sam Howes, 2017: Pinar del Rio?].",unknown,,1,in collection,Lymnaea francisca,,,,,"plate 73, figure 4"
CHAS:Inv:23810,[CHAS:Mamm]accession unknown,Lymnaea gabbi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Lake County",Clear Lake,[transcribed directly into formatted locality fields],Academy of Natural Sciences of Philadelphia,,2,in collection,Lymnaea {Lymnaea gabiii},,,,,"plate 32, figrue 34"
CHAS:Inv:23310,[CHAS:Mamm]2206,Lymnaea {Lymnaea galbana},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Alpena County","Alpena, Long Lake","FROM SPECIMEN: Long Lake, Alpena",unknown,,2,in collection,,,,,,"plate 32, figure 23-24"
CHAS:Inv:24537.2,[CHAS:Mamm]accession unknown,Lymnaea hendersoni,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Colorado, Larimer County",east of Fort Collins,FROM SPECIMEN: East of Fort Collins; FROM ORIGINAL CATALOG BOOK: [W. of Fort Collins],unknown,,5,in collection,Galba {Galba hendersoni},,,syntype,,"plate 28, figures 15-18"
CHAS:Inv:24537.1,[CHAS:Mamm]accession unknown,Lymnaea hendersoni,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Colorado, Larimer County",west of Fort Collins,FROM ORIGINAL CATALOG BOOK: [W. of Fort Collins],unknown,,1,in collection,,,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:23720.2,[CHAS:Mamm]accession unknown,Lymnaea hinkleyi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Idaho","Snake River, northern fork of in eastern Idaho",FROM SPECIMEN: North fork of Snake River,A. A. Hinkley,,4,in collection,,,,paralectotype,,"plate 47, figure 31, 35"
CHAS:Inv:23720.1,[CHAS:Mamm]accession unknown,Lymnaea hinkleyi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,lectotype,,
CHAS:Inv:23806.2,[CHAS:Mamm]accession unknown,Lymnaea jacksonensis,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Wyoming, Teton County",Jackson Lake,FROM SPECIMEN: Jackson Lake,unknown,,4,in collection,,,,syntype,,"plate 42, figure 27-31"
CHAS:Inv:23806.1,[CHAS:Mamm]accession unknown,Lymnaea jacksonensis,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:23610,[CHAS:Mamm]840,Lymnaea {Lymnaea jolietensis},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Grand Crossing, Mud Lake","FROM SPECIMEN: Mud Lake, Grand Crossing",unknown,,3,in collection,,,,,, plate 37 8.14-16
CHAS:Inv:23592,[CHAS:Mamm]accession unknown,Lymnaea lanceata,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Emmet County",Carp Lake,FROM SPECIMEN: Carp Lake,unknown,,4,in collection,,,,,,"plate 37, figure 17-15"
CHAS:Inv:23653,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea leaii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, San Francisco County",San Francisco,FROM SPECIMEN: San Francisco,unknown,,1,in collection,,,,,,plate 29 [ could also be 19] figure 1
CHAS:Inv:24539,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea mashotohensis},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Waukesha County",Nashotah,FROM ORIGINAL CATALOG BOOK: [Nashotah (Horizen: Pleistocene Marls of Wisconsin)],unknown,,7,in collection,,,,,,plate 46 figure18-24
CHAS:Inv:23095,[CHAS:Mamm]941,Bulimnea megasoma,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Oconto County",Oconto,FROM SPECIMEN: Oconto,unknown,,2,in collection,Lymnaea megasoma,Bulimula {Bulimula megasoma},,,,"plate 25, figure 3"
CHAS:Inv:23505,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea michiganensis},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Indiana, Tippecanoe County",Tippecanoe,FROM SPECIMEN: Tippecanoe,unknown,,2,in collection,,,,,,"plate 34, figure 19"
CHAS:Inv:23704,[CHAS:Mamm]accession unknown,Lymnaea mighelsi {Lymnaea mighelsi augulata},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Roscommon County",Houghton Lake,FROM SPECIMEN: Haugthon Lake,Bryant Walker,,3,in collection,,,,,,"plate 44, figure 1-3"
CHAS:Inv:23257,[CHAS:Mamm]accession unknown,Lymnaea sp.,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Indiana, LaPorte County",La Porte,FROM SPECIMEN: LaPorte,unknown,,3,in collection,,,,,,"plate 31, figure 35-37"
