GUID_PREFIX,ACCN_NUMBER,TRANS_AGENT_1,TRANS_AGENT_ROLE_1
CHAS:Mamm,4955,Howard K. Gloyd,received from
CHAS:Mamm,4956,Howard K. Gloyd,received from
CHAS:Mamm,4959,Howard K. Gloyd,received from
CHAS:Mamm,4486,J. Wright,received from
CHAS:Mamm,4198,Jack Miller,received from
CHAS:Mamm,3692,Joseph Leiter,received from
CHAS:Mamm,3743,Joseph Leiter,received from
CHAS:Mamm,3716,Joseph Leiter,received from
CHAS:Mamm,3792,Joseph Leiter,received from
CHAS:Mamm,1942,Julius Hurter,received from
CHAS:Mamm,3476,Karl W. Kahmann,received from
CHAS:Mamm,3961,Karl W. Kahmann,received from
CHAS:Mamm,4083,L. R. Wolfe,received from
CHAS:Mamm,4084,L. R. Wolfe,received from
CHAS:Mamm,4185,Leonard Boyles,received from
CHAS:Mamm,2855,M. B. Frees,received from
CHAS:Mamm,5042,Max E. Britton,received from
CHAS:Mamm,1931.3,Mrs. Henry W. Greist,received from
CHAS:Mamm,2000.2,Oliver S. Westcott,received from
CHAS:Mamm,4772,Philip Harter,received from
CHAS:Mamm,5359,Robert F. Koontz,received from
CHAS:Mamm,4342,Roy V. Komarek,received from
CHAS:Mamm,3235,Rudolph Haman,received from
CHAS:Mamm,4055,Stanley G. Jewett,received from
CHAS:Mamm,2014.4,Steve Barton,received from
CHAS:Mamm,1961.6,Tappan Gregory,received from
CHAS:Mamm,4037,Thurston I. Wright,received from
CHAS:Mamm,4589,Thurston I. Wright,received from
CHAS:Mamm,4925,Thurston I. Wright,received from
CHAS:Mamm,4951,Thurston I. Wright,received from
CHAS:Mamm,4952,Thurston I. Wright,received from
CHAS:Mamm,4954,Thurston I. Wright,received from
CHAS:Mamm,4957,Thurston I. Wright,received from
CHAS:Mamm,4958,Thurston I. Wright,received from
CHAS:Mamm,4960,Thurston I. Wright,received from
CHAS:Mamm,4990,Thurston I. Wright,received from
CHAS:Mamm,4994,Thurston I. Wright,received from
CHAS:Mamm,5004,Thurston I. Wright,received from
CHAS:Mamm,5006,Thurston I. Wright,received from
CHAS:Mamm,5011,Thurston I. Wright,received from
CHAS:Mamm,5071,Thurston I. Wright,received from
CHAS:Mamm,5072,Thurston I. Wright,received from
CHAS:Mamm,5150,Thurston I. Wright,received from
CHAS:Mamm,5161,Thurston I. Wright,received from
CHAS:Mamm,5162,Thurston I. Wright,received from
CHAS:Mamm,5309,Thurston I. Wright,received from
CHAS:Mamm,5331,Thurston I. Wright,received from
CHAS:Mamm,5332,Thurston I. Wright,received from
CHAS:Mamm,5333,Thurston I. Wright,received from
CHAS:Mamm,5336,Thurston I. Wright,received from
CHAS:Mamm,4068,Virgil W. Owen,received from
CHAS:Mamm,4865,W. S. Feeney,received from
CHAS:Mamm,2011.6,William Stimpson,received from
