COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,HABITAT,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
105,ekrimmel,17042,,,,[CHAS:Mamm]1408,Amphiagrion saucium,legacy,Leonara K. Gloyd,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois, DuPage County",Glen Ellyn,FROM SPECIMEN: Glen Ellyn; FROM ORIGINAL CATALOG BOOK: Glen Ellyn,Erica Krimmel,2017-05-20,unverified,,,,,W. E. Longley,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),"Good. One specimen has all 4 wings detached, placed in envelope.",2,in collection,Number of specimens from records: 2 (Original Catalog Book).,,,,,,verbatim collector,W.E. Longley,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
106,ekrimmel,1987.5.72,George Hulse-DD8,collector number,self,[CHAS:Mamm]1987.5,Coenagrionidae,expert,Allen Lawrance,2015-02-19,Damselfly.,Sat Jul 04 1987,1987-07-04,1987-07-04,"North America, United States, Illinois, Cook County","Chicago, Humboldt Park S of North Avenue, between California and Kedzie","FROM SPECIMEN: H.P. [Humboldt Park, south of North Ave, between California &Kedzie]",Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
107,ekrimmel,1990.1.25,2,original identifier,self,[CHAS:Mamm]1990.1,Coenagrionidae,expert,Allen Lawrance,2015-02-19,Damselfly.,Sat Jul 30 1988,1988-07-30,1988-07-30,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park Bird Sanctuary",FROM SPECIMEN: LPBS [Lincoln Park Bird Sanctuary],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
108,ekrimmel,1990.1.26,,,,[CHAS:Mamm]1990.1,Coenagrionidae,expert,Allen Lawrance,2015-02-19,Damselfly.,Sat Jul 22 1989,1989-07-22,1989-07-22,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",FROM SPECIMEN: Jackson Park,Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-20). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
109,ekrimmel,13535,,,,[CHAS:Mamm]1100,Lestes forcipatus,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois,Erica Krimmel,2017-05-20,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),"Good. Large hole in thorax, possible pest damage.",1,in collection,Number of specimens from records: 2 (Original Catalog Book).,whole organism (pinned),unchecked,1,missing,,verbatim collector,Andrew Bolter,2018-01-19,Erica Krimmel,sex,male,,Andrew Bolter,,,,,,accepted place of collection
110,ekrimmel,1987.5.73,George Hulse-DD1,collector number,self,[CHAS:Mamm]1987.5,Lestidae,expert,Allen Lawrance,2015-02-19,Damselfly.,Mon Jun 22 1987,1987-06-22,1987-06-22,"North America, United States, Illinois, Cook County","Northbrook, Somme Woods Prairie (NW corner of Waukegan and Dundee Roads)","FROM SPECIMEN: Somme[Somme Woods Prairie, northwest corner of Waukegan and Dundee Roads]",Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Fair. Missing head.,1,in collection,,,,,,,verbatim collector,George Hulse,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
111,ekrimmel,1987.5.74,George Hulse-DD2,collector number,self,[CHAS:Mamm]1987.5,Lestidae,expert,Allen Lawrance,2015-02-19,Damselfly.,Mon Jun 22 1987,1987-06-22,1987-06-22,"North America, United States, Illinois, Cook County","Northbrook, Somme Woods Prairie (NW corner of Waukegan and Dundee Roads)","FROM SPECIMEN: Somme[Somme Woods Prairie, northwest corner of Waukegan and Dundee Roads]",Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,George Hulse,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
112,ekrimmel,2017.10.11590,,,,[CHAS:Mamm]2017.10,Lestes congener,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. End of abdomen and upper left wing missing.,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
113,ekrimmel,2017.10.11591,,,,[CHAS:Mamm]2017.10,Lestes congener,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
114,ekrimmel,2017.10.11592,,,,[CHAS:Mamm]2017.10,Lestes rectangularis,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
115,ekrimmel,2017.10.11593,,,,[CHAS:Mamm]2017.10,Lestes rectangularis,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
116,ekrimmel,2017.10.11594,,,,[CHAS:Mamm]2017.10,Lestes rectangularis,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
117,ekrimmel,2017.10.11595,,,,[CHAS:Mamm]2017.10,Lestes rectangularis,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing most of abdomen.,1,in collection,,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
118,ekrimmel,2017.10.11596,,,,[CHAS:Mamm]2017.10,Lestes unguiculatus,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
119,ekrimmel,2017.10.11597,,,,[CHAS:Mamm]2017.10,Lestes unguiculatus,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
120,ekrimmel,2017.10.11598,,,,[CHAS:Mamm]2017.10,Lestes unguiculatus,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing most of abdomen.,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
121,ekrimmel,2017.10.11599,,,,[CHAS:Mamm]2017.10,Lestes unguiculatus,legacy,Leonara K. Gloyd,1947,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Found loosely associated with a label: ""Sept. 8, '46 Dur Grove Park."" Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing most of abdomen.,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
122,ekrimmel,2017.10.11600,,,,[CHAS:Mamm]2017.10,Lestidae sp.,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing head and abdomen.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
123,ekrimmel,1987.5.75,George Hulse-DD3,collector number,self,[CHAS:Mamm]1987.5,Zygoptera,legacy,unknown,,Damselfly.,Mon Jun 22 1987,1987-06-22,1987-06-22,"North America, United States, Illinois, Cook County","Northbrook, Somme Woods Prairie (NW corner of Waukegan and Dundee Roads)","FROM SPECIMEN: Somme[Somme Woods Prairie, northwest corner of Waukegan and Dundee Roads]",Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Head missing.,1,in collection,,,,,,,verbatim collector,George Hulse,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
124,ekrimmel,1987.5.76,George Hulse-DD4,collector number,self,[CHAS:Mamm]1987.5,Zygoptera,legacy,unknown,,Damselfly.,Mon Aug 10 1987,1987-08-10,1987-08-10,"North America, United States, Illinois, Cook County","Chicago, 1049 W. North Ave",FROM SPECIMEN: 1049 West North,Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
125,ekrimmel,1987.5.77,George Hulse-DD5,collector number,self,[CHAS:Mamm]1987.5,Zygoptera,legacy,unknown,,Damselfly.,Sat Jul 25 1987,1987-07-25,1987-07-25,"North America, United States, Illinois, Cook County","Chicago, 1049 W. North Ave",FROM SPECIMEN: 1066 West North,Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Head missing.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
126,ekrimmel,1987.5.78,George Hulse-DD6,collector number,self,[CHAS:Mamm]1987.5,Zygoptera,legacy,unknown,,Damselfly.,Sat Aug 01 1987,1987-08-01,1987-08-01,"North America, United States, Illinois, Cook County","Chicago, 1049 W. North Ave",FROM SPECIMEN: 1049 West North,Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
127,ekrimmel,1897.1100.6,13581,CHAS:Ento,self,[CHAS:Mamm]1100,Zygoptera,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Possibly part of CAS CN 13581 but no way to confirm. Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Head attached with pin.,1,in collection,Number of specimens from records: 3 (Original Catalog Book).,,,,,,,,,,sex,female,,unknown,,,,,,accepted place of collection
128,ekrimmel,13581.2,,,,[CHAS:Mamm]1100,Zygoptera,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois",northern Illinois,"FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: Ky. [Kentucky], U. [Utah?] Ill. [Illinois]",Erica Krimmel,2017-05-20,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Inventory specimen does not match catalog book specimen [Erica Krimmel]. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Tip of abdomen missing.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
129,ekrimmel,1897.1100.7,13581,CHAS:Ento,self,[CHAS:Mamm]1100,Zygoptera,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-05-20,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Possibly part of CAS CN 13581 but no way to confirm. Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing parts of all wings except bottom right.,1,in collection,Number of specimens from records: 3 (Original Catalog Book).,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
130,ekrimmel,1990.1.27,1,original identifier,self,[CHAS:Mamm]1990.1,Zygoptera,legacy,unknown,,Damselfly.,Sat Jul 30 1988,1988-07-30,1988-07-30,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park Bird Sanctuary",FROM SPECIMEN: LPBS [Lincoln Park Bird Sanctuary],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  EXHIBIT AND LOAN HISTORY: L2015.7, Bugs Outside the Box. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2015-06-18). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Excellent.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
131,ekrimmel,1990.1.28,3,original identifier,self,[CHAS:Mamm]1990.1,Zygoptera,legacy,unknown,,Damselfly.,Sat Jul 30 1988,1988-07-30,1988-07-30,"North America, United States, Illinois, Cook County","Chicago, Lincoln Park Bird Sanctuary",FROM SPECIMEN: LPBS [Lincoln Park Bird Sanctuary],Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Missing most of abdomen.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
132,ekrimmel,1990.1.29,,,,[CHAS:Mamm]1990.1,Zygoptera,legacy,unknown,,Damselfly.,Sun May 13 1990,1990-05-13,1990-05-13,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",FROM SPECIMEN: Jackson Park,Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
133,ekrimmel,13578,13578,CHAS:Ento,self,[CHAS:Mamm]1100,Zygoptera,legacy,unknown,,Damselfly.,[no date recorded],1800,2018-01-20,no higher geography recorded,no specific locality recorded,[no locality recorded]; FROM ORIGINAL CATALOG BOOK: Texas,Erica Krimmel,2017-05-20,unverified,,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to catalog 13578 during Arctos migration process, 2018. Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel]. EXHIBIT AND LOAN HISTORY: L2015.7, Bugs Outside the Box. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2015-06-18). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Tip of tail broken off.,1,in collection,Number of specimens from records: 1 (Original Catalog Book).,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
134,ekrimmel,1987.5.79,George Hulse-D4,collector number,self,[CHAS:Mamm]1987.5,Anax junius,legacy,unknown,,Dragonfly.,Sat Jul 04 1987,1987-07-04,1987-07-04,"North America, United States, Illinois, Cook County","Chicago, Humboldt Park S of North Avenue, between California and Kedzie","FROM SPECIMEN: H.P. [Humboldt Park, south of North Ave, between California &Kedzie]",Erica Krimmel,2017-05-20,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-03-11). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
135,ekrimmel,1990.1.30,,,,[CHAS:Mamm]1990.1,Anax junius,legacy,unknown,,Dragonfly.,Sun Jul 09 1989,1989-07-09,1989-07-09,"North America, United States, Illinois, Cook County","Chicago, Jackson Park",FROM SPECIMEN: Jackson Park,Erica Krimmel,2017-05-20,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  EXHIBIT AND LOAN HISTORY: L2015.7, Bugs Outside the Box. DATA HISTORY: Inventory catalogued/verified by Erica Krimmel (2015-06-18). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2017-05-20).",whole organism (pinned),Good. Wing tips slightly broken; missing PR middle leg.,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
