COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_DATE_4,SPECIMEN_EVENT_TYPE
62,ekrimmel,2017.3.40,HIS-013,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-eyepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,American Optics,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 21 mm and 19 mm; depth = 74 mm.,verbatim collector,American Optics,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-eyepiece; metal cylinder with a slightly tapered end and a ridged band around the middle. Lenses in both ends.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
63,ekrimmel,2017.3.41,HIS-014,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-eyepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,Carl Zeiss Jena,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 23 mm; depth = 71 mm.,verbatim collector,Carl Zeiss Jena,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. microscope-eyepiece-Projection 2; metal cylinder with a brass disc on one end and a ""cup"" holding the lens above that.  Lenses in both ends.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
64,ekrimmel,2017.3.42,HIS-015,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-eyepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2012-04-06,unverified,Carl Zeiss Jena,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Still in original cardboard protectors. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2012-04-06).,object,Good.,1,in collection,Number of Pieces: 2.,verbatim collector,Carl Zeiss Jena,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-eyepiece-Homal f=20 mm; squat metal cylinder with lens in one end and middle.  Still in original cardboard protectors.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
65,ekrimmel,2017.3.43,HIS-016,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-eyepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Amber King,2013-12-09,unverified,Ernst Leitz Company,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. In a brown box labeled, ""Zeichenokular"". DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by Amber King (2013-12-09).",object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 23 mm (26 mm with side lens); depth = 65 mm.,verbatim collector,Ernst Leitz Company,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-eyepiece-Zeichenokular; metal cylinder with a lens in the top and near the bottom.  Has a small lens off to one side in a black casing.  In a brown box.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
66,ekrimmel,2017.3.44,HIS-017,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-eyepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Probably one of the earlier eyepieces. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 34 mm and 14 mm; depth = 37 mm.,,,,,description,"SCIENTIFIC HISTORY. microscope-eyepiece; black ""cup"" on a ""stem""  lens is in the middle.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
67,ekrimmel,2017.3.45,HIS-018,original identifier,self,[CHAS:Mamm]2017.3,"unidentifiable {microscope-objective lens, nosepiece}",legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,McCrone Associates,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Objective lens can be removed from nosepiece. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 42 mm; depth = 42 mm.,verbatim collector,McCrone Associates,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-objective lens and nosepiece; metal disc with a lens screwed into one side and an attachment that allows one to screw it to a microscope on the other.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
68,ekrimmel,2017.3.46,HIS-019,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-loeuwenhoek},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Example of one of the first usable microscopes ever made c. 1670-1740. Engraved with, ""Antony von Loeuwenhoek A.D. 1665"". For reference see http://www.arsmachina.com/loeuwenhoek.htm. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).",object,Good.,1,in collection,Number of Pieces: 1.,,,,,description,SCIENTIFIC HISTORY. microscope-Loeuwenhoek; rectangular piece of metal attached to a threaded post.  Rectangle has a small hole that holds a lens.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
69,ekrimmel,2017.3.47,HIS-020,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-nosepiece},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,Busch Rathenow,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: length = 40 mm; height = 55 mm; depth = 48 mm.,verbatim collector,Busch Rathenow,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-nosepiece; metal rectangle with a spot to attach an objective lens on one side and a place to attach it to a microscope on the other.  Has multiple knobs.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
70,ekrimmel,2017.3.48,HIS-021,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {container},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2012-04-06,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2012-04-06).,object,Good.,1,in collection,Number of Pieces: 2. Dimensions: diameter = 54 mm (outer) and 25 (inner); depth = 70 mm.,,,,,description,"SCIENTIFIC HISTORY. metal cylinder inside a flared, black metal piece.  Whole thing is hollow.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
71,ekrimmel,2017.3.49,HIS-022,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-lens mount},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-26,unverified,American Bolex Company,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-26). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-26).,object,Good.,1,in collection,Number of Pieces: 2. Dimensions: diameter = 54 mm and 25 mm; depth = 46 mm.,verbatim collector,Bolex,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-nosepiece; squat metal cylinder with an end to attach parts to sits inside a slightly larger squat cylinder.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
72,ekrimmel,2017.3.50,HIS-023,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-tilting column},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2012-04-06,unverified,E. Leitz,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Related to the tilt all? DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2012-04-06).,object,Good.,1,in collection,Number of Pieces: 2. Dimensions: height = 105 mm; diameter = 35 mm.,verbatim collector,E. Leitz New York,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-tilting column; metal cylinder with a large T-shaped knob that controls the movement of the top cone-shaped piece that holds the camera.  Bottom can be attached to tripod.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
73,ekrimmel,2017.3.51,HIS-025,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-lens mount},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2012-04-06,unverified,American Bolex Company,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Found together in a white cloth bag. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2012-04-06).,object,Good.,1,in collection,Number of Pieces: 3.,verbatim collector,Bolex,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. camera-screw mount; metal ""barrels"" that have threading on both ends.  Used to attach different lens to different camera",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
74,ekrimmel,2017.3.52,HIS-026,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-lens},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,Carl Zeiss Jena,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Carl Zeiss Jena No. 2211160. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Excellent.,1,in collection,Number of Pieces: 3. Dimensions: length = 82 mm; height = 57 mm; diameter = 32 mm.,verbatim collector,Carl Zeiss Jena,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-sonnar 1:4 f=7.5 cm; heavy metal cylinder with a view finder (glass covered hole) attached to one side.  Two different moving bands adjust the focus.  Has protectors for front and back openings.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
75,ekrimmel,2017.3.53,HIS-027,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-objective lens},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 19 mm and 15 mm; depth = 45 mm.,,,,,description,SCIENTIFIC HISTORY. microscope-objective lens; brass cylinder slightly tapered at one end.  Other end attaches to microscope (screws on).  Lenses at both ends.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
76,ekrimmel,2017.3.54,HIS-028,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,Bausch and Lomb,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Found with HIS-029 (viewfinder). DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: height = 49 mm; diameter = 29 mm.,verbatim collector,Bausch & Lomb Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-?; black tube that comes to a point at one end.  This end houses a mirror and glass cube and is hinged so that it can be adjusted.  Likely used to redirect light to where it is needed.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
77,ekrimmel,2017.3.55,HIS-029,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-viewfinder},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,E. Leitz,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Found with HIS-028 (mystery object). DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: height = 46 mm; diameter = 37 mm and 13 mm.,verbatim collector,E. Leitz New York,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-viewfinder; metal cylinder with a small eyepiece on the bottom and that comes to a point on the top (holds a lens).  Can be focused and can change the size of the field of view.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
78,ekrimmel,2017.3.56,HIS-030,original identifier,self,[CHAS:Mamm]2017.3,"unidentifiable {microscope-stage clips, bolts/screws, assorted pieces}",legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2012-04-06,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Found together in a white cloth bag. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2012-04-06).,object,Fair.,1,in collection,Number of Pieces: 37.,,,,,description,"SCIENTIFIC HISTORY. microscope-stage clips, bolts/screws, assorted pieces",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
79,ekrimmel,2017.3.57,HIS-031,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-work box},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Glass covers counted by box not individually. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,"Fair. Some covers have broken, dusty.",1,in collection,Number of Pieces: 70.,,,,,description,"SCIENTIFIC HISTORY. microscope-work box; wooden box containing mostly cover glass, but also has projector oil, clock oil, time delay fuse, brushes, glass cleaner and gyroscopes.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
80,ekrimmel,2017.3.58,HIS-033,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {test tube tray},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Handmade? DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good. Dusty.,1,in collection,Number of Pieces: 1. Dimensions: length = 225 mm; height = 295 mm; depth = 30 mm.,,,,,description,SCIENTIFIC HISTORY. test tube tray; wood spray-painted gold with 130 holes drilled in it,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
81,ekrimmel,2017.3.59,HIS-034,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-work box},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,unknown,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 1.,,,,,description,"SCIENTIFIC HISTORY. microscope-work box-opaque slide kit; wood box with 34 compartments that hold metal, plastic, glass, and paper rings/circles as well as some microscope slides.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
82,ekrimmel,1983.8.22,HIS-036,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {lamp},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,"Asia, Japan",no specific locality recorded,Japan,B. McNamara,2010-03-29,unverified,Unitron,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: length = 95 mm; height = 75 mm; depth = 170 mm.,verbatim collector,Unitron,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. lamp-Unitron L.S.; heavy black base (square) with a metal rod to which the cylindrical lighting element is attached.  Lamp has three settings.  110 volts.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
83,ekrimmel,1983.8.23,HIS-039,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {microscope},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-29,unverified,Carl Zeiss Jena,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Carl Zeiss Jena No. 397. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-29). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-29).,object,Good.,1,in collection,Number of Pieces: 2. Dimensions: length = 105 mm; height = 87 mm; depth = 116 mm.,verbatim collector,Carl Zeiss Jena,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-?; octagonal base on which two pillars and a rotating disc stand.  Pillars support a large circular metal piece with a tube in the center that moves up and down and can be taken out.  In a wooden case.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
84,ekrimmel,1983.8.24,HIS-041,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,Carl Zeiss Jena,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Still need to find ""MIC camera in wood box"" which is listed with this lens. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).",object,Good.,1,in collection,Number of Pieces: 1. Dimensions: length = 205 mm; height = 160 mm.,verbatim collector,Carl Zeiss Jena,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-wide angle-No. 3410; an L-shaped lens with the eyepiece perpendicular to the housing of the lens and shutter.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
85,ekrimmel,1983.8.25,HIS-042,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens-movie},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,Eastman Kodak Company,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).,object,Good. Yellowed masking tape stuck to.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 46 mm; depth = 175 mm.,verbatim collector,Eastman Kodak Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-Kodak Anastigmat F=2.7 102mm; long silver cylinder with multiple ridged areas.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,value,75,US dollar,Valued at $75 in 1980.,Erica Krimmel,2017-02-20,place of manufacture
86,ekrimmel,1983.8.26,HIS-043,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens-movie},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,Eastman Kodak Company,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. Part of group with camera 16 mm Kodak special. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).,object,Good. Yellowed masking tape stuck to.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 35 mm; depth = 76 mm.,verbatim collector,Eastman Kodak Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-Kodak Anastigmat F=2.5 38mm; short metal cylinder with 4 major ridged areas.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
87,ekrimmel,1983.8.27,HIS-044,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens-movie},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,Eastman Kodak Company,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).,object,Good. Yellowed masking tape stuck to.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 48 mm; depth = 180 mm.,verbatim collector,Eastman Kodak Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-Kodak Cine Extar F:2.7 102mm; long metal cylinder with 2 major ridged areas.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,value,100,US dollar,Valued at $100 in 1980.,Erica Krimmel,2017-02-20,place of manufacture
88,ekrimmel,1983.8.28,HIS-045,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,Elgeet,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).,object,Good. Yellowed masking tape stuck to.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 44 mm; depth = 90 mm.,verbatim collector,Elgeet,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-wide angle-Elgeet 13 mm F:1.5; short metal cylinder with 3 major ridged areas.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,value,150,US dollar,Valued at $150 in 1980.,Erica Krimmel,2017-02-20,place of manufacture
89,ekrimmel,1983.8.29,HIS-046,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {camera-lens},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],B. McNamara,2010-03-30,unverified,P. Angenieux,maker,CHAS:EH,INTERNAL NOTES: Originally from the Scientific History Collection. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-03-30). Record last updated in Excel (prior to Arctos migration) by B. McNamara (2010-03-30).,object,Good.,1,in collection,Number of Pieces: 1. Dimensions: diameter = 36 mm; depth = 52 mm.,verbatim collector,P. Angenieux,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-lens-P. Angenieux F .25 1:0.95-Type M1-No. 314253; small black metal cylinder with 3 major ridged areas that are silver in color.  Leica lens cap.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,value,100,US dollar,Valued at $100 in 1980.,Erica Krimmel,2017-02-20,place of manufacture
