COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_TYPE
172,ekrimmel,E2017C.990,[CHAS:Mamm]E2017C,Ahaetulla nasuta,legacy,unknown,,Green Vine Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,skeleton,Good. 2017: previous dermestid activity that needs to be cleaned. some is in skull.,1,in collection,"Full skeleton (disarticulated), including skull and patch of skin. Origingal tag: ""Reed snake (crossed out) ?ov 7-20-44 Long Nosed Treesnake Ahaetulla nasuta.""",shed skin (dry),unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
221,ekrimmel,E2017C.991,[CHAS:Mamm]E2017C,Colubridae,legacy,unknown,,Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Alvin So,2017-01-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-17). Record last updated in Excel by Alvin So on 2017-01-21.",,,,,,,,,,skeleton,"Poor. 2017: not so good, a bit dirty and in many pieces. very fragile specimen. Number of pieces: 26.",1,in collection,"Coiled snake skeleton, no skull. Original tag: ""Unid headless snake skeleton (Colubrid).""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
252,ekrimmel,E2017C.992,[CHAS:Mamm]E2017C,Gopherus agassizii,legacy,unknown,,Desert Tortoise.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2014-09-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-15). Record last updated in Excel by Dawn R. Roberts on 2014-09-17.",,,,,,,,,,skeleton,unchecked 2017: a bit dusty/dirty.,1,in collection,Unassembled skeleton. Some bones are cracked,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
263,ekrimmel,E2017C.993,[CHAS:Mamm]E2017C,Bitis gabonica,legacy,unknown,,Gaboon Viper.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-15). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skeleton,Poor. 2017: terrible. needs to be frozen. cleaning must be done.,1,in collection,Parts of skeleton have broken off and is missing the head.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
268,ekrimmel,E2017C.994,[CHAS:Mamm]E2017C,Crotalus ruber,legacy,unknown,,Red Diamond Rattlesnake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,skeleton,Fair. 2017: needs to be cleaned. heaps of previous dermestid activity.,1,in collection,Disarticulated skeleton.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
210,ekrimmel,E2017C.995,[CHAS:Mamm]E2017C,Storeria dekayi,legacy,unknown,,Brown Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,"skeleton, mounted","Good. 2017: there was previous dermestid activity and there is some frass, webbing that needs to be cleaned out.",1,in collection,Specimen is in a clear container with a CAS tag: Storeria dekayi. Brown snake.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
220,ekrimmel,E2017C.996,[CHAS:Mamm]E2017C,Colubridae,legacy,unknown,,Colubrid snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",,,,,,,,,,"skeleton, mounted",Fair. 2017: has glue on it. Number of pieces: 3.,1,in collection,"Full skeleton tied to the bottom of a plastic container. Tag says ""Unid Colubrid Snake.""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
223,ekrimmel,E2017H.2,[CHAS:Mamm]E2017H,Bungarus fasciatus,legacy,unknown,,Banded Krait.,[transcribed directly into formatted date fields],1948-01-01,1948-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, Public Programs 01/28/2015 to 03/2015. DATA HISTORY: Inventoried by Dawn R. Roberts (2015-01-28). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",,,,,,,,,,"skeleton, mounted",Fair. 2017: residue from previous dermestid activity.,1,in collection,Skeletal specimen is mounted inside a plexi box.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
228,ekrimmel,E2017C.997,[CHAS:Mamm]E2017C,Clemmys insculpta,legacy,unknown,,North American Wood Turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-12-05,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-05). Record last updated in Excel by Erica Krimmel on 2015-12-05.",,,,,,,,,,"skeleton, mounted",Excellent. 2015-12-05.,1,in collection,Artciulated and housed on its back for easy viewing without removing from the box. Hyoid and unattached digit bones also housed in box.,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
249,ekrimmel,E2017H.3,[CHAS:Mamm]E2017H,Pythonidae,legacy,unknown,,New World Python.,"June 22, 1945",1945-06-22,1945-06-22,"North America, United States, Illinois, Cook County","Lincoln Park Zoo, Chicago",Lincoln Park Zoo,Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by Dawn R. Roberts (2015-10-21). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,"skeleton, mounted",Good.,1,in collection,,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
145,ekrimmel,E2017C.998,[CHAS:Mamm]E2017C,Lithobates catesbeianus,legacy,unknown,,American Bullfrog.,[no date recorded],1800,2017-12-06,"North America, United States",no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-07,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: L2017.18, PNNM, Education Dept for programs (NOG). L2012.13, PNNM, Nature on the Go! DATA HISTORY: Inventoried by Tom Anton (2009-05-07). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,"skeleton, mounted",Good.,1,on loan,,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
270,ekrimmel,E2017C.999,[CHAS:Mamm]E2017C,Sistrurus catenatus tergeminus,legacy,Celeste Troon,2013,Western Massasauga.,2013-06-14,2013-06-14,2013-06-14,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","Peggy Notebaert Nature Museum, living animal collection",Dawn R. Roberts,2015-10-21,unverified,Celeste Troon,collector,,,CHAS:Teach,"INTERNAL NOTES: Salvage specimen collected by Chicago Academy of Sciences. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by Dawn R. Roberts (2013-07-18). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,"skeleton, partial",Good.,1,in collection,"Rattle from tail of Western Massasauga. Note, dated 7/2/2013: ""The sauga was purchased from Emerald Exotics last September and we collected her on October 13th 2012. She is a three year old, female, Western Massasauga Sistrurus catenatus tergeminus. Known at the museum as Ophelia. She shed her tail whilst being worked with on the morning of Friday June 14th. As she was lifted up to be put back in her habitat she was rattling her tail and the end flew off!""  Venomous species.",,,,,,verbatim collector,Celeste Troon,2017-12-06,Erica Krimmel,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
205,ekrimmel,E2017H.4,[CHAS:Mamm]E2017H,Pantherophis obsoletus,legacy,unknown,,Western Ratsnake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Alvin So,2017-01-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Alvin So on 2017-01-21.",,,,,,,,,,"skeleton, partial","Poor. 2017: appears to be missing skull. only has one bone, likely from skeleton.",1,in collection,"One bone. Found within the box of the ""Ed Kapus Collection,"" but is not one of the 24 specimens on the provided list. Original tagging: "" Elaphe o. obseleta"" and ""Zoo Specimens ED KAPUS.""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
170,ekrimmel,E2017C.1000,[CHAS:Mamm]E2017C,Chelydra serpentina,legacy,John Keating,2015-06-24,Snapping Turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-12). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",73?0,original identifier,self,,,,RP-513,original identifier,self,skull,Good. 2017: skull is a bit cracked. Number of pieces: 1.,1,in collection,Appears to be an aquatic turtle. Cranium only.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
189,ekrimmel,E2017H.5,[CHAS:Mamm]E2017H,Farancia erytrogramma,legacy,unknown,,Rainbow Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,unchecked,1,in collection,"Skeleton and skull, articulated. Larger of two full skeletons and skulls, larger one articulated, smaller one disarticulated, originally found together with label: ""Abastor erythrogrammus. Nov. 26, 1940. Recd Lin. Pk Zoo."" Not sure if both are Rainbow snakes. Specimens separated for educational use.",skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
217,ekrimmel,E2017C.1001,[CHAS:Mamm]E2017C,Colubridae,legacy,unknown,,Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, Public Programs 01/28/2015 to 03/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-17). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",,,,,,,,,,skull,Fair. 2017: needs a bit of cleaning; there is some frass found on the specimen.,1,in collection,Skull with one half of the mandible and connected vertebrae. One half of the mandible is missing.,skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
229,ekrimmel,E2017H.6,[CHAS:Mamm]E2017H,Emydoidea blandingii,legacy,unknown,,Blanding's Turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,skull,unchecked 2017: there appears to be some remaining tissue on the specimen. Number of pieces: 2.,1,in collection,"two  tags in containter say 1) ""zoo speceimen ED KAPUS"" 2) ""Emys blandingii""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
230,ekrimmel,E2017C.1002,[CHAS:Mamm]E2017C,Graptemys sp.,legacy,unknown,,Map Turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-24). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",,,,,,,,,,skull,"Fair. 2017: bottom of shell has hole in it. also, some pieces are detatched and the neck and skull are loosely attached to the body. Number of pieces: 5.",1,in collection,Full skeleton.,skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
239,ekrimmel,E2017C.1003,[CHAS:Mamm]E2017C,Heloderma suspectum,legacy,unknown,,Gila Monster.,[no date recorded],1800,2017-12-06,"North America, United States, Arizona",no specific locality recorded,Arizona,Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by Tom Anton (2009). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,skull,Fair.,1,in collection,"Skull with skin remaining, incomplete disarticulated skeleton",skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
141,ekrimmel,E2017C.1004,[CHAS:Mamm]E2017C,Necturus maculosus,legacy,unknown,,Common Mudpuppy.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-02-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Dawn Roberts (2017-02-01). Record last updated in Excel by Dawn R. Roberts on 2017-02-01.",,,,,,,,,,skull,Fair. 2017-02-01. Number of pieces: 1.,1,in collection,Cranium and mandible.,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
142,ekrimmel,E2017C.1005,[CHAS:Mamm]E2017C,Necturus maculosus,legacy,unknown,,Common Mudpuppy.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-02-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Dawn Roberts (2017-02-01). Record last updated in Excel by Dawn R. Roberts on 2017-02-01.",,,,,,,,,,skull,Fair. 2017-02-01. Number of pieces: 1.,1,in collection,Cranium and mandible.,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
245,ekrimmel,E2017C.1006,[CHAS:Mamm]E2017C,Python regius,legacy,unknown,,Ball Python.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2016-12-01,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: L2012.13, PNNM, Nature on the Go! DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2016-12-01.",,,,,,,,,,skull,Good. 2017: black bits on the skull. Number of pieces: 3.,1,in collection,,"skeleton, partial",unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
253,ekrimmel,E2017H.7,[CHAS:Mamm]E2017H,Apalone sp.,legacy,unknown,,Softshell Turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-17). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",,,,,,,,,,skull,Good. Number of pieces: 6.,1,in collection,"Original tag: ""Apalone sp. Zoo Specimen E. Kapus""",skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
256,ekrimmel,E2017C.1007,[CHAS:Mamm]E2017C,Varanus sp.,legacy,unknown,,Monitor Lizard.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-06-17,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2017-06-17.",RP-503,original identifier,self,,,,,,,skull,Good.,1,in collection,Skull in a small plastic container. Skull and manidible are glued together.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
260,ekrimmel,E2017C.1008,[CHAS:Mamm]E2017C,Agkistrodon piscivorus,legacy,unknown,,Cottonmouth.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-15). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,"Good. 2017: has a few dead bugs, should be frozen.",1,in collection,"Complete articulated skeleton, appears to be no remaining tissue. Venomous species.",skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
279,ekrimmel,E2017C.1009,[CHAS:Mamm]E2017C,Testudines,legacy,unknown,,Aquatic turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-08-25,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-12). Record last updated in Excel by Dawn R. Roberts on 2015-08-25.",R,original identifier,self,,,,,,,skull,Good. 2017: needs a bit of cleaning. Number of pieces: 1.,1,in collection,No mandible. Has a bit of skin remaining. Appears to be an aquatic turtle.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
288,ekrimmel,E2017C.1010,[CHAS:Mamm]E2017C,Testudines,legacy,unknown,,Aquatic turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-07,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,skull,Good. 2017-10-07. Number of pieces: 2.,1,in collection,"Cranium and mandible. Original tag: ""Unid. Aquatic turtle skulls""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
289,ekrimmel,E2017C.1011,[CHAS:Mamm]E2017C,Testudines,legacy,unknown,,Aquatic turtle.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-07,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,skull,Good. 2017-10-07. Number of pieces: 2.,1,in collection,"Cranium and mandible. Original tag: ""Unid. Aquatic turtle skulls""",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
177,ekrimmel,E2017H.8,[CHAS:Mamm]E2017H,Coluber constrictor foxii,legacy,unknown,,Blue Racer.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,Excellent. 2017: has a bit of skin on skull. all of skull is intact.,1,in collection,"Skull and vertebrae. Found within the box of the ""Ed Kapus Collection,"" but is not one of the 24 specimens on the provided list. Original tagging: ""Coluber c. foxi"" and ""Zoo Specimen ED KAPUS.""","skeleton, partial",unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
178,ekrimmel,E2017H.9,[CHAS:Mamm]E2017H,Coluber constrictor,legacy,unknown,,Eastern Racer.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,Excellent. Number of pieces: 3.,1,in collection,"Skull, partial skeleton, and a bit of skin. Original tag: ""Coluber c. constrictor"" and ""Zoo specimen ED KAPUS.""",skeleton,unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
190,ekrimmel,E2017H.10,[CHAS:Mamm]E2017H,Heterodon platirhinos,legacy,unknown,,Eastern Hog-nosed Snake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,"Fair. 2017: appears to be a dermestid in the skull. i can't get it out. also, the top of skull looks a bit dirty and a few of the bones are loose. Number of pieces: 4.",1,in collection,"Skull and vertebrae. Found within the box of the ""Ed Kapus Collection,"" but not one of the 24 specimens on the provided list. Original tagging: ""Heterodon p. platyrhinos"" and ""Zoo Specimen ED KAPUS.""","skeleton, partial",unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
206,ekrimmel,E2017H.11,[CHAS:Mamm]E2017H,Pituophis catenifer sayi,legacy,unknown,,Bullsnake.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-04-10). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,Fair. 2017: decent. but partial skeleton has lots of remaining tissue on it. Number of pieces: 3.,1,in collection,"Skull and vertebrae. Found within the box of the ""Ed Kapus Collection,"" but not one of the 24 specimens on the provided list. Original tagging: ""Pituophis sayi,"" ""Pituophis sayi,"" and ""Zoo Specimen ED KAPUS.""","skeleton, partial",unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
259,ekrimmel,E2017H.12,[CHAS:Mamm]E2017H,Agkistrodon contortrix,legacy,unknown,,Copperhead.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2015-10-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2015. EXHIBIT AND LOAN HISTORY: Loan, PNNM, event, Supper with the Snakes, 10/30/2015. DATA HISTORY: Inventoried by S. Clarren (2012-02-29). Record last updated in Excel by Dawn R. Roberts on 2015-10-21.",,,,,,,,,,skull,Good. 2017: skeleton has some remaining tissue on it. Number of pieces: 3.,1,in collection,"Skull and vertebrae. Original tags say 1) ""Ancistrodon contortrix"" and 2) ""Zoo Specimen ED KAPUS."" Venomous species.","skeleton, partial",unchecked,1,in collection,,,,,,,,,,,,,,,,,,accepted place of collection
