"ACCN_NUMBER","CRMK"
"1928.4","See paperwork in Purchase 1928 in collections files. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Charles Brower. Collected/created by Charles Brower. Origin of material: Barrow, Alaska."
"1928.5","See paperwork in Purchases-1928 in collections files. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Charles Brower. Collected/created by Charles Brower. Origin of material: Barrow, Alaska."
"1928.6","Verbatim accession date is ""Summer 1928"" [E. Krimmel]. Originally this transaction was supposed to be a purchase, the Academy receiving $375 worth of copies of films taken by Dickey. Correspondece indicates that bill was not sent until 1932, and according to inferred correspondence between Dickey and Bailey this was turned into a gift to the Academy. Bailey sent a few specimens to Dickey in appreciation. Correspondence in Gifts-1928 and copy in Accessions-1928 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Record last updated in Accession spreadsheet by D. Roberts on 2014-06-14. Verbatim received from agent: Donald R. Dickey. Origin of material: Hawaii."
"1928.7","See paperwork in Purchase-1928 in collections files. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Charles Brower. Collected/created by Charles Brower. Origin of material: Barrow, Alaska."
"1929.1","Two letters asking both Lutcher Stark or Captain William E. Lea if they sent the specimen on via Mrs. Bailey. No resolution in correspondence found to date. Correspondence in Gifts-1929 and copies in Accessions-1929 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. B. Bailey. Origin of material: Texas."
"1929.2","Letter in Gifts-1929 and copy in Accession file by year [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: W.I. Lyon. Collected/created by W.I. Lyon. Origin of material: Islands of Green Bay, Wisconson."
"1930","Information from accession book. Verbatim received from agent: Sprague & Jackson. Origin of material: Chicago [Illinois]."
"1930.1","Thank you letter in Gifts-1930 and copy in Accessions-1930 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Joseph Leiter. Origin of material: Louisiana."
"1930.3","Correspondence in Gifts-1930 and copy in Accession File by year, 1930 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Dr. I.S. Trostler. Collected/created by Dr. I.S. Trostler. Origin of material: Grays Lake, Lake County, Illinois."
"1930.4","Correspondence in Gifts-1930 and copy in Accessions-1930 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Eugene R. Pike. Collected/created by Eugene R. Pike. Origin of material: Pilot Town, La. [Louisiana]."
"1931","Information from accession book. Verbatim received from agent: Chas. K. Bliss. Collected/created by Chas. K. Bliss. Origin of material: San Felipe, Rigal Prov., Philippines."
"1931.1","Correspondence in Gifts-1931 and copy in Accessions-1931 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. W.H. Helen Edwards. Collected/created by Mrs. W.H. (Helen) Edwards. Origin of material: Fairhope, Alabama."
"1931.2","Field collection and purchase. Invoice with list of specimens in Purchases-1931 and copy in Accessions-1931. Could be that not all specimens were accessioned into collection as Bailey used Alaska specimens for sale/exchange with other collectors. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Henry Greist. Verbatim agency associated with: Chicago Academy of Sciences. Collected/created by Mrs. Henry Greist. Origin of material: Alaska."
"1931.3","Specimens sent to Academy from Mrs. Greist via R.M. Barnes. Correspondence in Purchases-1931 and copies in Accessions-1931 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: R.M. Barnes. Collected/created by Mrs. Henry Greist, ca. 1930-1931. Origin of material: Point Barrow, Alaska."
"1932.4","Letter giving identification and thanking him for specimen in Gifts-1932 and copy in Accessions-1932 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: William C. McKinley. Origin of material: Peoria, IL?."
"1933","Field Day, July 10-20. Pres by W.H.C. Elwell. Information from accession book. Correspondence in Accession file and copy in Gifts-1904 [A. King]. Verbatim received from agent: Mrs. E.C. Wiswall. Origin of material: Escanabia [Escambia or Escanaba?] River, Florida."
"1933.1","Correspondence with specimen list in Exchanges-1933 and Accessions-1933 and Deaccessions-1933 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: W.B. Sampson. Collected/created by W.B. Sampson. Origin of material: Various localities."
"1933.3","See correspondence in Gifts-1933 and copies in Accessions-1933. Bailey told donor we may decide to dispose of vases instead of keeping them, donor fine with that. Most likely never accessioned and disposed of [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: M.E. Emrick. Collected/created by M.E. Emrick."
"1934.2","Correspondence regarding specimen being held in customs waiting for proof of final purpose in Gifts-1934 and Accessions-1934 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mr. W.A. Weber. Origin of material: Canada, etc."
"1936.2","Specimens sent to replace a shipment lost in transit the previous year, no info as to number or locality in correspondence but that info was attached. Correspondence in Gifts-1936 and copy in Accessions-1936 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Harry C. Oberholser. Verbatim agency associated with: Bureau of Biological Survey. Origin of material: Pennsylvania."
"1937","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: New Mexico, Arizona."
"1938","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Kansas City, Mo. [Missouri]."
"1938.2","Apparently not properly accessioned. Number estimated by WLN [Walter L. Necker]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Chicago Academy of Sciences. Verbatim agency associated with: Chicago Academy of Sciences. Date collected: 1938."
"1939","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff."
"1939.1","See paper work in Gifts-1939 and copies in Accessions-1939 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Frank B. Kirby. Verbatim agency associated with: Abbott Laboratories. Origin of material: field near Abbott Labroratories, North Chicago, Illinois."
"1939.11","Rana clamitans 6685. Origin of material: Starved Rock, St. Louis Canyon, Illinois. Associated with CHAS catalog numbers Herpetology: 6685. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: June Votara. Collected/created by J. Votara."
"1939.12","Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Bob Guillaudeu. Collected/created by Bob Guillaudeu, March 26, 1939."
"1939.3","Letter detailing collection data in Accessions-1939. Could not be matched up to specific specimen in Oology collection. [A. King] Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Carl F. Meves. Collected/created by Carl F. Meves, 1927. Origin of material: Agua Nueva Ranch, about 150 miles south of El Paso, Texas, 100 miles north of city of Chihuahua, about 8 miles east of the railroad from El Paso for Mexico City in the state of Chihuahua, Mexico."
"1939.5","Origin of material: LaSalle County, Illinois. Associated with CHAS catalog numbers Herpetology: 6027-6029. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: H K Gloyd. Verbatim agency associated with: Chicago Academy of Sciences. Collected/created by H.K. Gloyd."
"1939.7","Letter citing receipt of donation of dragonflies but that they were received severely shaken up and damaged, solicited a donation for the following year. Letter in Gift/Purchase Offers Unknown-1939 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Henry J. Lalley. Collected/created by Henry J. Lalley. Origin of material: Alaska."
"1939.8","Origin of material: Wisconsin. Associated with CHAS catalog numbers Herpetology: 6821-6861. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Melvin Burmeister. Collected/created by Melvin Burmeister."
"1939.9","Collection established in 1939; 300+ specimens, 118 snakes and lizards; separate collection ledger; jar labels have RAE field numbers; CA #s assigned, entered in Edgren ledger and electronic catalog, but NO CA tags attached to specimens. Origin of material: Mostly North America. Associated with CHAS catalog numbers Herpetology: 18426-19832. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Richard A. Edgren. Collected/created by Richard A Edgren."
"1940","Information from accession book. Verbatim received from agent: C.H. Tinkham. Origin of material: Parkersburg, W. Va. [West Virginia]."
"1941","Information from accession book. Verbatim received from agent: C.H. Tinkham. Origin of material: Ishpeming, Mich. [Michigan]."
"1941.1","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: C.E. Peet. Collected/created by various collectors, various dates. Origin of material: Various."
"1941.3","Correspondence in Gifts-1941 and copies in Accessions-1941 Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Record last updated in Accession spreadsheet by D. Roberts on 2014-06-14. Verbatim received from agent: Vernon C. Shippee. Collected/created by Eva Rowley Bergeron."
"1942","Information from accession book. Verbatim received from agent: Julius Hurter Sr. Collected/created by Julius Hurter Sr. Origin of material: Randolph Co., Ills. [Illinois]."
"1942.10","Correspondence in Gfits-1942 and copy in Accessions-1942. Exact specimens referred to unclear, species identified in correspondence but it looks like Gloyd was identifying for Link and then sending some specimens back [A. King.] Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Rev. George M. Link. Collected/created by Rev. George M. Link. Origin of material: Pere Marquette State Park, Illinois."
"1942.11","Letter citing collection of insects (excluding mosquitos) from eight light traps apparently set to collect specimens for E.C. Williams. Williams was to deal with the insects upon his return from the military, unclear if these specimens added to Academy collection or for Williams' research alone. Correspondence in Gifts-1942 and copies in Accessions-1942 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: J. Lyell Clarke. Verbatim agency associated with: The Desplaines Valley Mosquito Abatement District. Collected/created by J. Lyell Clarke, May 28, 1942; June 4, 1942, June 12, 1942. Origin of material: Illinois."
"1942.12","Correspondence in Gifts-1942 and copies in Accessions-1942 {A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Irene H.H. Jackson. Collected/created by Mrs. (Irene) H.H. Jackson, October 5, 1942. Origin of material: Waukegan, Illinois."
"1942.13","Correspondence in Gifts-1942 and copy in Accessions-1942 {A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Irene H.H. Jackson. Collected/created by Mrs. (Irene) H.H. Jackson, October 12, 1942. Origin of material: Waukegan, Illinois."
"1942.14","Correspondence in Gifts-1942 and copy in Accessions-1942 {A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Irene H.H. Jackson. Collected/created by Mrs. (Irene) H.H. Jackson, October 16, 1942. Origin of material: Waukegan, Illinois."
"1942.15","Correspondence in Gifts-1942 and copy in Accessions-1942 {A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Irene H.H. Jackson. Collected/created by Mrs. (Irene) H.H. Jackson, October 23, 1942. Origin of material: Waukegan, Illinois."
"1942.6","Sistrurus catenatus 10843-4, Received with shipment from P.D. Evans on above date. [see accession # 4744]. Origin of material: Mo. [Missouri]. Associated with CHAS catalog numbers Herpetology: 10843-10844. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Paul Anderson. Collected/created by P.A."
"1942.8","Correspondence in Gfits-1942 and copy in Accessions-1942. Exact specimens referred to unclear, species identified in correspondence but it looks like Gloyd was identifying for Link and then sending some specimens back [A. King.] Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Rev. George M. Link. Collected/created by Rev. George M. Link. Origin of material: Pere Marquette State Park, Illinois."
"1943","Information from accession book. Correspondence, packing slips and customs declaration forms in Accession File and copy in Exchanges-1904 [A. King]. Verbatim received from agent: Ricardo Lleras Codazzi. Origin of material: Bogota, Columbia, S.A. [South America]."
"1943.1","Correspondence in Gifts-1943 and copies in Accessions-1943 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Record last updated in Accession spreadsheet by D. Roberts on 2014-06-14. Verbatim received from agent: Lloyd G. Miller. Collected/created by Lloyd G. Miller."
"1944","Information from accession book, accession card. Verbatim received from agent: C.F. Gunther. Origin of material: Green River, Wyoming."
"1945","Information from accession book. Correspondence in Accession File and copies in Gifts-1904 [A. King]. Verbatim received from agent: L.E. Daniels. Collected/created by L.E. Daniels. Origin of material: Indiana."
"1945.1","Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Gene Mandik. Collected/created by Gene Mandik, June 28, 1945. Origin of material: Chicago - in a garden."
"1946","Information from accession book. Verbatim received from agent: Roy Tressler. Collected/created by Loy Tressler. Origin of material: Chicago [Illinois]."
"1946.2","Correspondence in Gifts-1946 and copies in Accessions-1946 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Record last updated in Accession spreadsheet by D. Roberts on 2014-06-14. Verbatim received from agent: Lloyd G. Miller. Collected/created by Lloyd G. Miller. Origin of material: backyard, 4421 N. Lacrosse, Chicago, IL."
"1947","Purchased, $25.00. Information from accession book. Correspondence in Accession Files and copies in Purchases-1904 [A. King]. Verbatim received from agent: Y. Hirase. Origin of material: Japan."
"1947.1","General collection [could have been received at same time as acc. 5116, A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: unknown. Collected/created by Bill Ross, March 27, 1947. Origin of material: 3 miles east of Charlotte, Dickson County, Tennessee."
"1947.2","General collection pickled [could have been received at same time as acc. 5116, A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: unknown. Collected/created by Bill Ross, March 12, April 3, 1947. Origin of material: 2 miles east of Charlotte, Dickson County, Tennessee."
"1947.3","Paperwork with invoice in Purchases-1947 and copy in Accessions-1947 [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: W.A. King. Verbatim agency associated with: Snake King. Origin of material: Texas."
"1947.4","Letter citing collection of these insects while conducting field work for herps in file. Insects given to Dr. Theodore Hubbell according to this letter in March 1948. Letter in Transfers-1948 and copy in Deaccessions-1948 [A. King], Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Howard K. Gloyd. Verbatim agency associated with: Chicago Academy of Sciences. Collected/created by Howard K. Gloyd and Bill Clay, August 1947. Origin of material: Huachuca Mountains, Arizona."
"1947.5","On card: ""Please give me the common and scientific name, and something of the life's history of these specimens. Are they harmful or helpful to man. I have found them only in Bell County, Kentucky. 2 counties in Tennessee (in small numbers) also plentiful near Magnolia, Arkansas and Jena, Louisiana."" [Could have been received at same time as acc. #5136, A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: unknown. Collected/created by Bill Ross, October 10-26, 1947. Origin of material: 1.5 miles east of Jena, La Salle (Parish), Louisiana."
"1948","Information from accession book. Verbatim received from agent: F.S. Lewis. Collected/created by F.S. Lewis. Origin of material: Pickens Co., Ga. [Georgia]."
"1949","Information from accession book. Correspondence in Accession file and copies in Exchanges-1904 [A. King]. Verbatim received from agent: C. Abbott Davis. Collected/created by C. Abbott Davis. Origin of material: Bermuda."
"1949.1","Exchanged for CAS publications with any overage costs being paid by Academy. Correspondence in Exchanges-1949 and copy in Accessions-1949. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim agency associated with: Quivira Specialites Company. Origin of material: Chanute, Kansas."
"1949.2","In Received as field: gift to kg Not Acc. To be used by A.P.K. as study specimens. Possibly inventoried in collection? If so, we may evaluated as to whether these should be accessioned or put into the education collection. [D. Roberts 8/1/2015]. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Tony Steiner. Collected/created by Tony Steiner, 1940 and 1945. Origin of material: Illinois - exact data on sheets."
"1949.3","Correspondence in Gifts-1949 and copies in Accessions-1949 [A. King] Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Raymond J. Koch and Mrs. Albert H. Tippens. Origin of material: southern Michigan, northern Illinois, and other locations."
"1949.4","Exchanged for CAS publications with any overage costs being paid by Academy. Correspondence in Exchanges-1949 and copy in Exchanges-1949. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim agency associated with: Quivira Specialites Company. Origin of material: Oshkosh, Wisconsin."
"1949.5","Exchanged for CAS publications with any overage costs being paid by Academy. Correspondence in Exchanges-1949 and copy in Accessions-1949. Accessioned, no number. Accession number assigned August 2015 [D. Roberts].. Verbatim agency associated with: Quivira Specialites Company. Origin of material: somewhere in New Jersey."
"1950","Correspondence in Accession file and copy in Gifts-1904 [A. King]. Information from accession book. Verbatim received from agent: Chas. H. Conner. Collected/created by Chas. H. Conner. Origin of material: Delaware River, Westville, N.J. [New Jersey]."
"1950.1","Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Frank Carine. Collected/created by Frank Carine, April 27, 1950. Origin of material: Lincoln and Odgen Avenues, Chicago[Illinois]."
"1950.2","Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Fred Forsman. Date collected: about 90 years ago [from 1950]. Origin of material: Devils Den, South Waterford, Indiana."
"1951","Information from accession book. Verbatim received from agent: W.C. Egan. Collected/created by W.C. Egan. Origin of material: Highland Park, Ills. [Illinois]."
"1952","Information from accession book. Verbatim received from agent: J.H. Ferriss. Collected/created by J.H. Ferriss. Origin of material: United States."
"1952.1","See correspondence in Gifts-1952 and copy in Accessions-1952. Letter from Gloyd acknowloging receipt of materials does not clearly indicate whether these ended up in the collection or moved to another institution [A. King]. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: William F. Kohler. Collected/created by William F. Kohler. Origin of material: Alaska, petrified wood specimens from east coast of Kuiu Island in southeastern Alaska."
"1954","Information from accession book. Verbatim received from agent: Louis Grebasch. Origin of material: China."
"1955","Information from accession book. Verbatim received from agent: Louis Grebasch. Origin of material: Germany."
"1956","Information from accession book. Verbatim received from agent: L.B. Case. Collected/created by L.B. Case. Origin of material: The Canal, Indianapolis [Indiana]."
"1956.24","Verified in collection [A. King]. Origin of material: Illinois and Iowa. Associated with CHAS catalog numbers Herpetology: 17781-17783. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Robt. G. Schroder. Collected/created by R.G. Schroder, et al."
"1957","Information from accession book. Verbatim received from agent: William Glensen. Origin of material: Chicago [Illinois]."
"1957.25","Origin of material: ""Rockwood"" - 5 miles souteast of Leesville, South Carolina. Associated with CHAS catalog numbers Herpetology: 18301-18306. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Laura Brodie. Collected/created by L.B."
"1957.33","Not verified as in collection per Herpetology spreadsheet, A. King. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: M. Gordon Vaiden. Collected/created by Scott Wanfield, September 5, 1957. Origin of material: Gunnison, Bolivar County, Mississippi."
"1958.1","Dan Speake, Wildlife Research Unit, Auburn, Ala. [Not found during inventory, A. King]. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: F.X. Lueth. Collected/created by Dan Speake, April 30, 1958. Origin of material: Camp Hill, Tallpoosa County, Alabama."
"1959.1","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Frudolph Frausto. Collected/created by Rudolph Frausto, May 31, 1959. Origin of material: Lockport, Illinois - yard."
"1959.2","Information from accession card. See letter from Reta Cusack dated 10-21-1959 in Gifts-1959. Should have field notes according to oology dataset. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Reta Cusack. Collected/created by D.W. Cusack."
"1960.2","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Lawrence Fletcher. Collected/created by Lawrence Fletcher, April 19, 1906. Origin of material: on North Park Avenue, Chicago, Illinois."
"1960.3","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Ebba Lind. Collected/created by Miss Ebba Lind, April 21, 1960. Origin of material: near Newberry Library, Chicago, Illinois."
"1961","Information from accession book. Verbatim received from agent: C.F. Gunther. Origin of material: Bad Lands, S. Dakota [South Dakota]."
"1961.1","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Edgar L. Schnadig. Origin of material: Oklahoma."
"1961.4","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Helen Knopp. Date collected: about a week ago [approximately October 13, 1961]."
"1961.6","Correspondence in Gifts-1961 and copy in Accessions-1961. Specimens listed as received in paperwork are, skins: 3 red squirrels, 17 chipmunks, 46 mice and shrews, 10 cotton rat, 4 bats, 5 muskrat, 4 cottontails, 4 moles, 5 ground squirrel, 2 pocket gophers, 8 squirrels, 4 woodchucks, 42 weasels, 7 mink, 2 oppossum, 2 skunk, 1 badger; skulls: 4 wolf, 1 bear, 1 beaver, 1 puma. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Charlotte Gregory. Collected/created by Tappan Gregory."
"1962","Information from accession book. Verbatim received from agent: Russel McGinnis,James Sanford,Douglas Heart [Weart?]. Origin of material: Chicago [Illinois]."
"1962.1","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mabel Ward. Collected/created by Mabel Ward, 1958. Origin of material: Florida."
"1962.2","Accession date taken from address on offer letter, set count taken from gifts (pg. 9) listed in Museum Activities No. 12. This matches up with egg sets marked ""Stuart"" in the Oology collection. Letter gives general data for these eggs, but no specifics (see letter in Gifts-1962 and copy in Accessions-1962). Accessioned, no number. Should have field notes according to oology dataset. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mary Stuart. Further research in November 2015 indicates that these were collected by brothers Friant and Harold Stuart (3639 Vincennes Ave, Chicago IL). We currently can only locate the oology data card for one specimen (see AOU #390, CHAS #1875); locating the remainder would greatly assist in FIC matching. Specimens (more than 56) were associated with this accession in November 2015, based on ""Stuart Collection of Oology"" list handwritten on yellow lined paper and stored in the Accessions 1962 folder. Collected/created by Stuart, about 1894. Origin of material: mostly in Michigan."
"1962.3","Note with Ostrich Egg: collected in 1950s, ""shell alone weighs 7 1/2 oz, Full of Water 2 3/4 lbs., 33 oz of water, 32 oz per qt., 1/31/73, GEI [George Iannarone]"". Origin of material: New Guinea (Spears and 1 boomerang), Australia (2 boomerangs), Fiji (batik mat), Africa (Ostrich Egg), possibly Great Barrier Reef (some shells and coral specimens). Associated with CHAS catalog numbers ANTH: uncatalogued. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: E.J. Gill. Collected/created by E.J. Gill."
"1962.4","Note on back of card in accession file: ""Please send about half to the Chicago Natural History Museum. The Academy may have first choice."". Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Quintin Neal. Collected/created by Quintin Neal, 1962. Origin of material: South Rim of Grand Canyon, Arizona."
"1963","Information from accession book. Verbatim received from agent: Elliot R. Downing. Origin of material: Marquette, Michigan."
"1963.1","Note [cards]: ""George, Mr. Lucas states that the samples are considerably larger than the fist size that I requested. I think this is still quite an understatement. Water"". Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Walter H. Schwebke. Collected/created by Walter H. Schwebke and others, September 1963. Origin of material: Localities in Keystone, South Dakota: Diamond Mica Mine, Nemo, Elta Mine, Hugo Mine, White Cap Mine, Mount Rushmore."
"1964","Information from accession book. Verbatim received from agent: Miss Watson. Verbatim agency associated with: Newberry Libarary. Origin of material: Chicago [Illinois]."
"1964.1","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Gary Christoph. Origin of material: various localites."
"1964.2","The collection was in the family since about 1932. Most of the work was done around 1900s to 19-?. Snowy Owl in family for 50 yrs. 2 cases in collection, one case contains 110 birds and the other case contains 1 Snowy Owl. [Case with birds and mammals is 302.Display Mount Cabinet 10.]. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. Albert F.R. Swatek. Collected/created by Walter G. Friedruks, early 1900s. Origin of material: information of where collected lost."
"1964.3","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Walter H. Schwebke. Collected/created by Walter H. Schwebke, August 1964. Origin of material: Picuris Pueblo."
"1964.4","Birds were picked up dead and frozen then donated to Academy. Put in alcohol collection. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Jean Gerometta. Collected/created by Jean Gerometta, 1963-1964. Origin of material: Indiana Dunes, Porter County, Indiana."
"1964.7","Found on floor of garage, mounted. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Robert Mueller. Collected/created by Robert Mueller, December 16, 1964. Origin of material: 805 Cottage Grove, South Bend, St. Joseph County, Indiana."
"1965","Information from accession book. Verbatim received from agent: Alexander Kwiat. Origin of material: Chicago [Illinois]."
"1965.16","In C.A.S. alcohol collection. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Stuart Otis. Collected/created by Stuart Otis, September 29, 1965. Origin of material: Libertyville, Illinois."
"1965.17","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Mrs. John F. Kraeger. Collected/created by Kraeger, September 29, 1965. Origin of material: Chicago, Illinois."
"1965.2","Study skin, G.I. Owl was caught at night by Mr. Cross by throwing a blanket over him. Died April 25, 1965, was kept as a pet. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Frances M. Poe. Collected/created by George Gross, December 8, 1964. Origin of material: Arlington Heights, Illinois."
"1965.22","Kinglet in alcohol collection, sparrow discarded. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Sparrow discarded. Verbatim received from agent: Floyd Rueger. Collected/created by Floyd Rueger, October 11, 1965 [sparrow]. Origin of material: Chicago, Cook County, Illinois."
"1965.24","Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Brown Creeper discarded; Red breasted Nuthatch discarded. Verbatim received from agent: F. Cummings. Collected/created by F. Cummings, October 31, 1965. Origin of material: Inland [Steel] Building, Chicago, Cook County, Illinois."
"1965.27","Made into study skin. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Dorothy Guduson. Collected/created by Dorothy Guduson, April 23, 1965. Origin of material: found at Dearborn and North Avenue, Chicago, Illinois."
"1965.28","Killed by flying into garage window. Alcohol Collection. Information from accession card. Accessioned, no number. Accession number assigned August 2015 [D. Roberts]. Verbatim received from agent: Paul Medek. Collected/created by Paul Medek, April 7, 1965. Origin of material: 3823 W. 70 Pl., Chicago, Cook County, Illinois."
