guid,ASSIGNED_BY_AGENT,ASSIGNED_DATE,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE,COLLECTING_METHOD,COLLECTING_SOURCE,VERIFICATIONSTATUS,HABITAT,VERBATIM_DATE,VERBATIM_LOCALITY,COLL_EVENT_REMARKS,BEGAN_DATE,ENDED_DATE,LOCALITY_ID,SPEC_LOCALITY,GEOREFERENCE_PROTOCOL,GEOREFERENCE_SOURCE,HIGHER_GEOG,no_verbatim_coordinates,LOCALITY_REMARKS,MAX_DEPTH,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,MIN_DEPTH,ORIG_LAT_LONG_UNITS,DATUM,DEC_LAT,DEC_LONG,DEPTH_UNITS,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS
CHAS:Inv:1836,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]","FROM SPECIMEN: Cincinnati; FROM ORIGINAL CATALOG BOOK: Cincinnati, Ohio",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10504881,,,,,,,,,,,,,,,,,,
CHAS:Inv:1842,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1895-01-11]","FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: Mississippi River, Wis. [Wisconsin]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1895-01-11,10884906,,,,,,,,,,,,,,,,,,
CHAS:Inv:1845,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1895-01-11]","FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: Mississippi River, Wis. [Wisconsin]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1895-01-11,10884906,,,,,,,,,,,,,,,,,,
CHAS:Inv:1847,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-01-28]","FROM SPECIMEN: Mountain Lake, near San Francisco; FROM ORIGINAL CATALOG BOOK: Mountain Lake near San Fran. [Francisco], Cal. [California]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-01-28,10885630,,,,,,,,,,,,,,,,,,
CHAS:Inv:1853,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-01-28]","FROM SPECIMEN: Colorado river, Colorado City; FROM ORIGINAL CATALOG BOOK: Colorado River, Colorado City, Col. [Colorado]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-01-28,10886924,,,,,,,,,,,,,,,,,,
CHAS:Inv:1864,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-06-10]","FROM SPECIMEN: Wabash River; FROM ORIGINAL CATALOG BOOK: Wabash River, Ind. [Indiana]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-06-10,10884876,,,,,,,,,,,,,,,,,,
CHAS:Inv:1871,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1908-04-16]",FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: Mississippi River,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1908-04-16,10884895,,,,,,,,,,,,,,,,,,
CHAS:Inv:1876,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: Mississippi River,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10884895,,,,,,,,,,,,,,,,,,
CHAS:Inv:1900,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1908-04-16]",FROM SPECIMEN: Mississippi River [per card]; FROM ORIGINAL CATALOG BOOK: Mississippi River,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1908-04-16,10884895,,,,,,,,,,,,,,,,,,
CHAS:Inv:1904,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: New England; FROM ORIGINAL CATALOG BOOK: New England,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10483558,,,,,,,,,,,,,,,,,,
CHAS:Inv:1910,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1895-08-21]",FROM SPECIMEN: Florida; FROM ORIGINAL CATALOG BOOK: Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1895-08-21,10461238,,,,,,,,,,,,,,,,,,
CHAS:Inv:1911,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1895-08-21]",FROM SPECIMEN: Massachusetts; FROM ORIGINAL CATALOG BOOK: Massachusetts,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1895-08-21,10972742,,,,,,,,,,,,,,,,,,
CHAS:Inv:1915,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: West Florida; FROM ORIGINAL CATALOG BOOK: West Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10868324,,,,,,,,,,,,,,,,,,
CHAS:Inv:1916,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]",FROM SPECIMEN: Florida; FROM ORIGINAL CATALOG BOOK: Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10461238,,,,,,,,,,,,,,,,,,
CHAS:Inv:2017,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-08-31]","FROM SPECIMEN: Lilycash Creek, Joliet; FROM ORIGINAL CATALOG BOOK: Lilycash Creek, Joliet, Ills. [Illinois]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-08-31,10886433,,,,,,,,,,,,,,,,,,
CHAS:Inv:2092,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-08-31]","FROM SPECIMEN: Chicago River, IL; FROM ORIGINAL CATALOG BOOK: Chicago River, Bowmanville [Chicago], Ills. [Illinois]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-08-31,10886509,,,,,,,,,,,,,,,,,,
CHAS:Inv:2193,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1895-06-26]","FROM SPECIMEN: Fox River; FROM ORIGINAL CATALOG BOOK: Dundee, Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1895-06-26,10884893,,,,,,,,,,,,,,,,,,
CHAS:Inv:2368,Anna Chinn,2019-03-07,Raised from eggs.,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]",[no locality recorded],Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10000000,,,,,,,,,,,,,,,,,,
CHAS:Inv:24087,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1907-11-14]","FROM SPECIMEN: Lansing; FROM ORIGINAL CATALOG BOOK: Lansing, Iowa",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1907-11-14,10884897,,,,,,,,,,,,,,,,,,
CHAS:Inv:2465,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]",FROM ORIGINAL CATALOG BOOK: Jamaica,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10478854,,,,,,,,,,,,,,,,,,
CHAS:Inv:2496,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1905-04-29]","FROM ORIGINAL CATALOG BOOK: Glenwood Springs, Col. [Colorado]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-04-29,10904923,,,,,,,,,,,,,,,,,,
CHAS:Inv:2530,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: West Florida; FROM ORIGINAL CATALOG BOOK: West Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10868324,,,,,,,,,,,,,,,,,,
CHAS:Inv:2532,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: West Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10868324,,,,,,,,,,,,,,,,,,
CHAS:Inv:2562,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: West Florida; FROM ORIGINAL CATALOG BOOK: West Florida,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10868324,,,,,,,,,,,,,,,,,,
CHAS:Inv:2734,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1908-05-04]",FROM SPECIMEN: Bangs Lake Lake to Lee,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1908-05-04,10886451,,,,,,,,,,,,,,,,,,
CHAS:Inv:2963,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1909-06-30]",FROM SPECIMEN: Lincoln Park,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-06-30,10759914,,,,,,,,,,,,,,,,,,
CHAS:Inv:3042,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1903-07-01]","FROM ORIGINAL CATALOG BOOK: Lawrenceburg, Ind. [Indiana] FROM SPECIMEN: Lawrenceburg, Ind.",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-07-01,10884917,,,,,,,,,,,,,,,,,,
CHAS:Inv:3054,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-02-16]","FROM SPECIMEN: Weeping Water; FROM ORIGINAL CATALOG BOOK: Weeping Water, Neb. [Nebraska]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10885933,,,,,,,,,,,,,,,,,,
CHAS:Inv:3078,Anna Chinn,2019-03-07,One of the largest of the Pupa shells.,collection,,wild caught,accepted,,"[no date recorded, prior to 1903-07-01]","FROM ORIGINAL CATALOG BOOK: Lawrenceburg, Ind. [Indiana] FROM SPECIMEN: Lawrenceburg, Ind.",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-07-01,10884917,,,,,,,,,,,,,,,,,,
CHAS:Inv:3084,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-02-05]","FROM SPECIMEN: Burnside; FROM ORIGINAL CATALOG BOOK: Burnside, Kentucky",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-05,10886528,,,,,,,,,,,,,,,,,,
CHAS:Inv:3093,Anna Chinn,2019-03-07,Odd coloration.,collection,,wild caught,accepted,,"[no date recorded, prior to 1900-04-01]","FROM ORIGINAL CATALOG BOOK: Stark Co. [County], Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1900-04-01,10885913,,,,,,,,,,,,,,,,,,
CHAS:Inv:3112,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1903-05-04]","FROM SPECIMEN: Bolinas; FROM ORIGINAL CATALOG BOOK: Bolinas, California",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-05-04,10884909,,,,,,,,,,,,,,,,,,
CHAS:Inv:3113,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1903-05-04]","FROM SPECIMEN: Bolinas; FROM ORIGINAL CATALOG BOOK: Bolinas, California",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-05-04,10884909,,,,,,,,,,,,,,,,,,
CHAS:Inv:3133,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1900-06-01]","FROM SPECIMEN: Lawrence; FROM ORIGINAL CATALOG BOOK: Lawrence, Kansas",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1900-06-01,10964377,,,,,,,,,,,,,,,,,,
CHAS:Inv:3138,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1903-07-01]","FROM SPECIMEN: Lawrence; FROM ORIGINAL CATALOG BOOK: Lawrence, Kansas",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-07-01,10964377,,,,,,,,,,,,,,,,,,
CHAS:Inv:3139,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1903-07-01]","FROM SPECIMEN: Cunliff's Pond; FROM ORIGINAL CATALOG BOOK: Cudliff's [Cunliff's?] Pond, Providence, R.I. [Rhode Island]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-07-01,10885307,,,,,,,,,,,,,,,,,,
CHAS:Inv:3158,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1896-12-14]","FROM SPECIMEN: Honey Creek; FROM ORIGINAL CATALOG BOOK: Honey Creek, Wis. [Wisconsin]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-12-14,10885308,,,,,,,,,,,,,,,,,,
CHAS:Inv:3239,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-02-16]","FROM SPECIMEN: Weeping Water; FROM ORIGINAL CATALOG BOOK: Weeping Water, Neb. [Nebraska]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10885933,,,,,,,,,,,,,,,,,,
CHAS:Inv:3242,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]",FROM SPECIMEN: Hayden's Mills; FROM ORIGINAL CATALOG BOOK: Haydens Mills,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10885421,,,,,,,,,,,,,,,,,,
CHAS:Inv:3289,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1893-06-16]","FROM SPECIMEN: Frankfort; FROM ORIGINAL CATALOG BOOK: Frankfort, Michigan",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1893-06-16,10886480,,,,,,,,,,,,,,,,,,
CHAS:Inv:3298,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1896-04-16]",FROM SPECIMEN: Between Grass and Marie Lakes; FROM ORIGINAL CATALOG BOOK: Channel between Grass L. [Lake] and L. [Lake] Marie,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-04-16,10886375,,,,,,,,,,,,,,,,,,
CHAS:Inv:3448,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1903-04-06]",FROM ORIGINAL CATALOG BOOK: Philippines,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-04-06,10140086,,,,,,,,,,,,,,,,,,
CHAS:Inv:3461,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]",[no locality recorded],Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10000000,,,,,,,,,,,,,,,,,,
CHAS:Inv:3463,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1896-12-14]","FROM SPECIMEN: Kenosha, WI; FROM ORIGINAL CATALOG BOOK: Kenosha, Wisconsin",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1896-12-14,10595697,,,,,,,,,,,,,,,,,,
CHAS:Inv:3464,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1905-03-07]",FROM SPECIMEN: Calumet River; FROM ORIGINAL CATALOG BOOK: Calumet River,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1905-03-07,10885382,,,,,,,,,,,,,,,,,,
CHAS:Inv:3467,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1899-01-10]","FROM SPECIMEN: Blue River, Wyandotte, Ind.; FROM ORIGINAL CATALOG BOOK: Blue River, Wyandotte, Ind. [Indiana]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1899-01-10,10885522,,,,,,,,,,,,,,,,,,
CHAS:Inv:3473,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1901-07-01]","FROM SPECIMEN: Watling Island; FROM ORIGINAL CATALOG BOOK: Watling Island [San Salvador Island], Bahamas",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1901-07-01,10884880,,,,,,,,,,,,,,,,,,
CHAS:Inv:3505,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-09-19]","FROM SPECIMEN: Hamilton; FROM ORIGINAL CATALOG BOOK: Hamilton, Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10885069,,,,,,,,,,,,,,,,,,
CHAS:Inv:3571,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1903-07-01]","FROM SPECIMEN: Arcadia; FROM ORIGINAL CATALOG BOOK: Arcadia, Mo. [Missouri]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-07-01,10886130,,,,,,,,,,,,,,,,,,
CHAS:Inv:3610,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-09-19]","FROM SPECIMEN: Chandeleur Island; FROM ORIGINAL CATALOG BOOK: Chandeleur Island, La. [Louisiana]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10885575,,,,,,,,,,,,,,,,,,
CHAS:Inv:3618,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1903-04-20]",FROM ORIGINAL CATALOG BOOK: Java [Indonesia] FROM SPECIMEN LABEL: Java,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1903-04-20,10140192,,,,,,,,,,,,,,,,,,
CHAS:Inv:3620,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-12-31]",FROM SPECIMEN: Borneo; FROM ORIGINAL CATALOG BOOK: Borneo,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-12-31,10815351,,,,,,,,,,,,,,,,,,
CHAS:Inv:3685,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1897-02-16]","FROM ORIGINAL CATALOG BOOK: Joliet, Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1897-02-16,10760190,,,,,,,,,,,,,,,,,,
CHAS:Inv:3695,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-02-16]","FROM SPECIMEN: Estes Park; FROM ORIGINAL CATALOG BOOK: Estes Park, Colorado",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10913878,,,,,,,,,,,,,,,,,,
CHAS:Inv:3776,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-09-19]","FROM SPECIMEN: Crystal Lake; FROM ORIGINAL CATALOG BOOK: Crystal Lake, Ills. [Illinois]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10760115,,,,,,,,,,,,,,,,,,
CHAS:Inv:3781,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1899-01-10]","FROM SPECIMEN: Wabash River, Mt. Carmel, Ind.; FROM ORIGINAL CATALOG BOOK: Wabash River, Mt. [Mount] Carmel, Ills. [Illinois]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1899-01-10,10885385,,,,,,,,,,,,,,,,,,
CHAS:Inv:3804,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-09-19]","FROM ORIGINAL CATALOG BOOK: Rogers Park [Chicago], Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10752533,,,,,,,,,,,,,,,,,,
CHAS:Inv:3818,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-02-16]","FROM SPECIMEN: Estes Park; FROM ORIGINAL CATALOG BOOK: Estes Park, Colorado",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10913878,,,,,,,,,,,,,,,,,,
CHAS:Inv:3829,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1897-01-25]",FROM SPECIMEN: Norway; FROM ORIGINAL CATALOG BOOK: Norway,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1897-01-25,10012248,,,,,,,,,,,,,,,,,,
CHAS:Inv:3830,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-12-31]",FROM SPECIMEN: Dalmatia; FROM ORIGINAL CATALOG BOOK: Dalmatia [Croatia],Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-12-31,10892318,,,,,,,,,,,,,,,,,,
CHAS:Inv:3835,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-01-28]","FROM SPECIMEN: Oahu; FROM ORIGINAL CATALOG BOOK: Oahu, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-01-28,10916561,,,,,,,,,,,,,,,,,,
CHAS:Inv:3839,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-06-11]","FROM SPECIMEN: New Orleans, La; FROM ORIGINAL CATALOG BOOK: New Orleans, La. [Louisiana]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-06-11,10970313,,,,,,,,,,,,,,,,,,
CHAS:Inv:3840,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-02-16]",FROM ORIGINAL CATALOG BOOK: New Mexico,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10086677,,,,,,,,,,,,,,,,,,
CHAS:Inv:3841,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1902-01-28]",FROM SPECIMEN: Malta; FROM ORIGINAL CATALOG BOOK: Malta,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-01-28,10479283,,,,,,,,,,,,,,,,,,
CHAS:Inv:3843,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]","FROM SPECIMEN: Owasco Lake; FROM ORIGINAL CATALOG BOOK: Owasco Lake, N.Y. [New York]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10506699,,,,,,,,,,,,,,,,,,
CHAS:Inv:3844,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-06-10]","FROM SPECIMEN: Clear Lake, La Porte Co., Ind; FROM ORIGINAL CATALOG BOOK: Clear Lake, La Porte Co. [County], Ind. [Indiana]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-06-10,10885071,,,,,,,,,,,,,,,,,,
CHAS:Inv:3846,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-12-31]",FROM SPECIMEN: Europe; FROM ORIGINAL CATALOG BOOK: Europe,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-12-31,10124180,,,,,,,,,,,,,,,,,,
CHAS:Inv:3852,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Oahu; FROM ORIGINAL CATALOG BOOK: Oahu, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10916561,,,,,,,,,,,,,,,,,,
CHAS:Inv:3853,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Oahu; FROM ORIGINAL CATALOG BOOK: Oahu, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10916561,,,,,,,,,,,,,,,,,,
CHAS:Inv:3854,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-12-31]",FROM SPECIMEN: Northern Italy; FROM ORIGINAL CATALOG BOOK: Northern Italy,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-12-31,10885316,,,,,,,,,,,,,,,,,,
CHAS:Inv:3866,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1900-04-01]","FROM ORIGINAL CATALOG BOOK: Stark Co. [County], Illinois",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1900-04-01,10885913,,,,,,,,,,,,,,,,,,
CHAS:Inv:3867,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-09-19]","FROM SPECIMEN: Hayden's Mills; FROM ORIGINAL CATALOG BOOK: Hayden's Mills, Cayuga Co. [County], N.Y. [New York]",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-09-19,10886916,,,,,,,,,,,,,,,,,,
CHAS:Inv:3888,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Hawaii; FROM ORIGINAL CATALOG BOOK: Hawaii, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10098038,,,,,,,,,,,,,,,,,,
CHAS:Inv:3890,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-12-31]","FROM SPECIMEN: Mindoro Island; FROM ORIGINAL CATALOG BOOK: Mindoro, Philippines",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-12-31,10478878,,,,,,,,,,,,,,,,,,
CHAS:Inv:3895,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Maui; FROM ORIGINAL CATALOG BOOK: Maui, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10884854,,,,,,,,,,,,,,,,,,
CHAS:Inv:3898,Anna Chinn,2019-03-07,,collection,,wild caught,unverified,,"[no date recorded, prior to 1898-02-16]",FROM SPECIMEN: New Mexico; FROM ORIGINAL CATALOG BOOK: New Mexico,Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10086677,,,,,,,,,,,,,,,,,,
CHAS:Inv:3899,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1898-02-16]","FROM ORIGINAL CATALOG BOOK: Prescott, Arizona",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1898-02-16,10907454,,,,,,,,,,,,,,,,,,
CHAS:Inv:3900,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Oahu; FROM ORIGINAL CATALOG BOOK: Oahu, Hawaiian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10916561,,,,,,,,,,,,,,,,,,
CHAS:Inv:3904,Anna Chinn,2019-03-07,,collection,,wild caught,accepted,,"[no date recorded, prior to 1902-10-02]","FROM SPECIMEN: Molokai; FROM ORIGINAL CATALOG BOOK: Molokai, Hawaian Islands",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1902-10-02,10884853,,,,,,,,,,,,,,,,,,
